scaling_factor,k,dataset:0,dataset:1,dataset:2,dataset:3,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,mean
1.0,0.75,glue-cola,glue-mrpc,glue-qqp,glue-stsb,0.0019175455417066,0.0,0.230392156862745,0.085625,0.0,0.0,0.4387644894050995,0.10809988454422159
1.0,0.5,glue-cola,glue-mrpc,glue-rte,glue-sst2,0.4333652924256951,0.0,0.3039215686274509,0.0,0.003610108303249,0.6112385321100917,,0.19316221449521237
1.0,0.5,glue-cola,glue-mrpc,glue-rte,glue-stsb,0.0278044103547459,0.0,0.2941176470588235,0.0,0.0,0.0,0.6714190665956983,0.1419058748584668
1.0,0.5,glue-cola,glue-mrpc,glue-sst2,glue-stsb,0.5369127516778524,0.0,0.0,0.0,0.0,0.7660550458715596,0.452770170939183,0.250819709784085
1.0,0.5,glue-cola,glue-qqp,glue-rte,glue-sst2,0.5148609779482263,0.0,0.0,0.583125,0.0288808664259927,0.9013761467889908,,0.2897489987376014
1.0,0.5,glue-cola,glue-qqp,glue-rte,glue-stsb,0.1006711409395973,0.0,0.0,0.00125,0.0180505415162454,0.0,0.7232614042865105,0.12046186953462189
1.0,0.5,glue-cola,glue-qqp,glue-sst2,glue-stsb,0.4228187919463087,0.0,0.0,0.0,0.0,0.8967889908256881,0.4563824086730461,0.25371288449214896
1.0,0.5,glue-cola,glue-rte,glue-sst2,glue-stsb,0.5321188878235859,0.0,0.0,0.0,0.0,0.551605504587156,0.7579594931747493,0.26309769794078447
1.0,0.75,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.0,0.105,0.0122549019607843,0.004375,0.4332129963898917,0.0,,0.07926327119295372
1.0,0.5,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,0.0,0.140625,0.2794117647058823,0.115,0.0,0.783256880733945,,0.18832766363426104
1.0,0.5,glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.0,0.000625,0.1274509803921568,0.0275,0.0,0.0,0.5780216940718986,0.10479966778057935
1.0,0.5,glue-mnli,glue-mrpc,glue-rte,glue-sst2,0.0,0.36,0.0612745098039215,0.0,0.7256317689530686,0.783256880733945,,0.2757375942129907
1.0,0.5,glue-mnli,glue-mrpc,glue-rte,glue-stsb,0.0,0.330625,0.0808823529411764,0.0,0.5776173285198556,0.0,,0.14130352592300457
1.0,0.5,glue-mnli,glue-mrpc,glue-sst2,glue-stsb,0.0,0.12,0.0122549019607843,0.0,0.0,0.5986238532110092,0.7211032637498715,0.207426002703095
1.0,0.75,glue-mnli,glue-qqp,glue-rte,glue-sst2,0.0,0.408125,0.0,0.444375,0.6353790613718412,0.8176605504587156,,0.32936280169007953
1.0,0.75,glue-mnli,glue-qqp,glue-rte,glue-stsb,0.0,0.345,0.0,0.00125,0.5270758122743683,0.0,,0.12476083032490974
1.0,0.5,glue-mnli,glue-qqp,glue-sst2,glue-stsb,0.0,0.151875,0.0,0.0,0.0,0.5630733944954128,0.579440261303595,0.18491266511414398
1.0,0.5,glue-mnli,glue-rte,glue-sst2,glue-stsb,0.0,0.35875,0.0,0.0,0.5270758122743683,0.0263761467889908,,0.13031456558047988
1.0,0.5,glue-mrpc,glue-qqp,glue-rte,glue-sst2,0.0,0.0,0.3161764705882353,0.13125,0.0,0.2282110091743119,,0.09651963996607817
1.0,0.5,glue-mrpc,glue-qqp,glue-rte,glue-stsb,0.0,0.0,0.3112745098039216,0.16125,0.0,0.0,0.234553749181722,0.10101117985509193
1.0,0.5,glue-mrpc,glue-qqp,glue-sst2,glue-stsb,0.0,0.0,0.2107843137254902,0.00125,0.0,0.6559633027522935,0.4565842942311255,0.1892259872441299
1.0,0.5,glue-mrpc,glue-rte,glue-sst2,glue-stsb,0.0,0.0,0.2892156862745098,0.0,0.0,0.3084862385321101,0.632856185629324,0.1757940157765634
1.0,0.5,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.0,0.0,0.0,0.005,0.0,0.3830275229357798,0.6068209106902422,0.14212120480371743
