scaling_factor,dataset:0,dataset:1,dataset:2,dataset:3,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,mean
0.5,glue-mnli,glue-mrpc,glue-qqp,glue-rte,0.0,0.230625,0.0,0.48875,0.5703971119133574,0.0,,0.18425315884476534
0.7000000000000001,glue-mnli,glue-mrpc,glue-qqp,glue-sst2,0.0,0.30375,0.0,0.360625,0.0,0.8692660550458715,,0.21909157929226736
0.95,glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.0,0.3075,0.0735294117647058,0.466875,0.0144404332129963,0.0,0.3725539209004952,0.17641410941117103
0.55,glue-mnli,glue-mrpc,glue-rte,glue-sst2,0.0,0.301875,0.0,0.0,0.371841155234657,0.8577981651376146,,0.21878776005318165
0.55,glue-mnli,glue-mrpc,glue-rte,glue-stsb,0.0,0.433125,0.0,0.0,0.51985559566787,0.0,0.0434179203979371,0.14234264515225817
0.75,glue-mnli,glue-mrpc,glue-sst2,glue-stsb,0.0,0.295625,0.0,0.0,0.0,0.8096330275229358,0.3078580702812761,0.20187372825774455
0.5,glue-mnli,glue-qqp,glue-rte,glue-sst2,0.0,0.273125,0.0,0.216875,0.5018050541516246,0.8979357798165137,,0.2699629762811626
0.6000000000000001,glue-mnli,glue-qqp,glue-rte,glue-stsb,0.0,0.41875,0.0,0.175625,0.6137184115523465,0.0,,0.17258477307890666
0.7000000000000001,glue-mnli,glue-qqp,glue-sst2,glue-stsb,0.0,0.289375,0.0,0.005625,0.0,0.8623853211009175,0.2238077723429099,0.19731329906340392
0.7000000000000001,glue-mnli,glue-rte,glue-sst2,glue-stsb,0.0,0.3325,0.0,0.0,0.51985559566787,0.7385321100917431,,0.22726967225137332
0.55,glue-mrpc,glue-qqp,glue-rte,glue-sst2,0.0009587727708533,0.0,0.0,0.524375,0.4584837545126354,0.8463302752293578,,0.2614496860732638
0.65,glue-mrpc,glue-qqp,glue-rte,glue-stsb,0.0,0.0,0.0,0.5925,0.4729241877256318,0.0,0.4445556952269668,0.2157114118503712
0.95,glue-mrpc,glue-qqp,glue-sst2,glue-stsb,0.0,0.014375,0.0147058823529411,0.513125,0.0,0.8623853211009175,0.2727295416761026,0.23961724930428016
0.9,glue-mrpc,glue-rte,glue-sst2,glue-stsb,0.0009587727708533,0.01875,0.0,0.0,0.2815884476534296,0.6387614678899083,0.4565654079598608,0.19951772803915027
0.8,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.0,0.001875,0.0,0.17625,0.4584837545126354,0.8589449541284404,0.4901885618041225,0.2836774672064569
