scaling_factor,dataset:0,dataset:1,dataset:2,dataset:3,dataset:4,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb
0.5,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.05081495685522531,0.01375,0.46078431372549017,0.10875,0.0,0.0,0.6456756889323592
0.55,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.03355704697986577,0.01125,0.553921568627451,0.110625,0.0,0.0,0.6375959208798626
0.6000000000000001,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.028763183125599234,0.01,0.6544117647058824,0.10125,0.0,0.0,0.6245211608808189
0.65,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.02588686481303931,0.009375,0.7230392156862745,0.095,0.0,0.0,0.5903068512019005
0.7000000000000001,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.026845637583892617,0.005,0.7843137254901961,0.09125,0.0,0.0,0.554094416321005
0.75,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.028763183125599234,0.00375,0.7892156862745098,0.086875,0.0,0.0,0.5040577794406517
0.8,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.023010546500479387,0.001875,0.7916666666666666,0.079375,0.0,0.0,0.4333011048873224
0.8500000000000001,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.01821668264621285,0.000625,0.7892156862745098,0.0725,0.0,0.0,0.28287564642409596
0.9,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.009587727708533078,0.0,0.7794117647058824,0.06375,0.0,0.0,0.08718218368951247
0.9500000000000001,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.007670182166826462,0.0,0.7745098039215687,0.055,0.0,0.0,
1.0,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-stsb,0.0028763183125599234,0.0,0.7647058823529411,0.0425,0.0,0.0,
0.0,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.05,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.1,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.010321100917431193,
0.15000000000000002,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-sst2,0.1629913710450623,0.0,0.0,0.0,0.021660649819494584,0.5194954128440367,
0.2,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-sst2,0.5752636625119847,0.000625,0.0,0.0,0.33935018050541516,0.8486238532110092,
0.25,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-sst2,0.6164908916586769,0.115625,0.07352941176470588,0.0,0.5595667870036101,0.8428899082568807,
0.30000000000000004,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-sst2,0.6116970278044104,0.3325,0.19362745098039216,0.0,0.7978339350180506,0.7327981651376146,
0.35000000000000003,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-sst2,0.5944391179290508,0.3525,0.14215686274509803,0.0,0.8050541516245487,0.588302752293578,
0.4,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-sst2,0.5656759348034516,0.34875,0.09313725490196079,0.0,0.7617328519855595,0.4518348623853211,
0.45,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-sst2,0.5254074784276127,0.341875,0.07352941176470588,0.0,0.7003610108303249,0.3440366972477064,
0.5,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-sst2,0.4726749760306807,0.3275,0.061274509803921566,0.0,0.6245487364620939,0.22362385321100917,
0.55,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-sst2,0.4170661553211889,0.314375,0.06862745098039216,0.0,0.5848375451263538,0.14908256880733944,
0.6000000000000001,glue-cola,glue-mnli,glue-mrpc,glue-rte,glue-sst2,0.36720997123681687,0.293125,0.0661764705882353,0.0,0.5451263537906137,0.0963302752293578,
