scaling_factor,k,dataset:0,dataset:1,dataset:2,dataset:3,dataset:4,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb
0.75,0.25,glue-cola,glue-mnli,glue-mrpc,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
1.0,0.25,glue-cola,glue-mnli,glue-mrpc,glue-sst2,glue-stsb,0.0,0.000625,0.0,0.0,0.0,0.017201834862385322,
0.0,0.5,glue-cola,glue-mnli,glue-mrpc,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.5,glue-cola,glue-mnli,glue-mrpc,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.5,glue-cola,glue-mnli,glue-mrpc,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,0.5,glue-cola,glue-mnli,glue-mrpc,glue-sst2,glue-stsb,0.08437200383509108,0.0,0.0,0.0,0.0,0.5034403669724771,
1.0,0.5,glue-cola,glue-mnli,glue-mrpc,glue-sst2,glue-stsb,0.36145733461169705,0.1225,0.0,0.0,0.010830324909747292,0.8211009174311926,0.5877200484136856
0.0,0.75,glue-cola,glue-mnli,glue-mrpc,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.75,glue-cola,glue-mnli,glue-mrpc,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.75,glue-cola,glue-mnli,glue-mrpc,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,0.75,glue-cola,glue-mnli,glue-mrpc,glue-sst2,glue-stsb,0.037392138063279005,0.0,0.0,0.0,0.0,0.2786697247706422,
1.0,0.75,glue-cola,glue-mnli,glue-mrpc,glue-sst2,glue-stsb,0.3317353787152445,0.095,0.0,0.0,0.0,0.7717889908256881,0.413089627050876
0.0,1.0,glue-cola,glue-mnli,glue-mrpc,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,1.0,glue-cola,glue-mnli,glue-mrpc,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
