scaling_factor,k,dataset:0,dataset:1,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb
0.4,1.0,glue-cola,glue-mnli,0.07478427612655801,0.001875,0.0,0.0,0.0,0.0,
0.5,1.0,glue-cola,glue-mnli,0.47459252157238735,0.075,0.0,0.0,0.0,0.005733944954128441,
0.6000000000000001,1.0,glue-cola,glue-mnli,0.663470757430489,0.433125,0.0,0.0,0.02888086642599278,0.020642201834862386,
0.7000000000000001,1.0,glue-cola,glue-mnli,0.6874400767018217,0.63875,0.0,0.0,0.2527075812274368,0.03096330275229358,
0.8,1.0,glue-cola,glue-mnli,0.697986577181208,0.710625,0.0,0.0,0.41155234657039713,0.01834862385321101,
0.9,1.0,glue-cola,glue-mnli,0.710450623202301,0.753125,0.0,0.0,0.44404332129963897,0.0045871559633027525,
1.0,1.0,glue-cola,glue-mnli,0.7219558964525408,0.785,0.0,0.0,0.4404332129963899,0.0,
0.0,0.25,glue-cola,glue-mrpc,0.0,0.0,0.0,0.0,0.0,0.0,
0.1,0.25,glue-cola,glue-mrpc,0.0,0.0,0.0,0.0,0.0,0.0,
0.2,0.25,glue-cola,glue-mrpc,0.0,0.0,0.0,0.0,0.0,0.0,
0.30000000000000004,0.25,glue-cola,glue-mrpc,0.006711409395973154,0.0,0.0,0.0,0.0,0.0,
0.4,0.25,glue-cola,glue-mrpc,0.19463087248322147,0.0,0.012254901960784314,0.0,0.0,0.0011467889908256881,
0.5,0.25,glue-cola,glue-mrpc,0.573346116970278,0.0,0.33088235294117646,0.0,0.0,0.0034403669724770644,
0.6000000000000001,0.25,glue-cola,glue-mrpc,0.660594439117929,0.0,0.5441176470588235,0.0,0.0,0.0022935779816513763,
0.7000000000000001,0.25,glue-cola,glue-mrpc,0.6951102588686481,0.0,0.678921568627451,0.0,0.0,0.0,
0.8,0.25,glue-cola,glue-mrpc,0.7238734419942474,0.0,0.821078431372549,0.0,0.0,0.0,
0.9,0.25,glue-cola,glue-mrpc,0.7334611697027804,0.0,0.8406862745098039,0.0,0.0,0.0,
1.0,0.25,glue-cola,glue-mrpc,0.7372962607861937,0.0,0.8553921568627451,0.0,0.0,0.0,
