scaling_factor,dataset:0,dataset:1,dataset:2,dataset:3,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb
0.5,glue-cola,glue-mnli,glue-mrpc,glue-stsb,0.28475551294343243,0.329375,0.13725490196078433,0.0,0.10469314079422383,0.0,0.6727262938188387
0.55,glue-cola,glue-mnli,glue-mrpc,glue-stsb,0.2694151486097795,0.334375,0.49754901960784315,0.0,0.02888086642599278,0.0,0.496301621123316
0.6000000000000001,glue-cola,glue-mnli,glue-mrpc,glue-stsb,0.2962607861936721,0.290625,0.6029411764705882,0.0,0.0,0.0,0.19840800283839896
0.65,glue-cola,glue-mnli,glue-mrpc,glue-stsb,0.3231064237775647,0.118125,0.6421568627450981,0.0,0.0,0.0,0.0267500194504762
0.7000000000000001,glue-cola,glue-mnli,glue-mrpc,glue-stsb,0.3211888782358581,0.001875,0.6568627450980392,0.0,0.0,0.0,
0.75,glue-cola,glue-mnli,glue-mrpc,glue-stsb,0.0009587727708533077,0.0,0.47549019607843135,0.0,0.0,0.0,
0.8,glue-cola,glue-mnli,glue-mrpc,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.8500000000000001,glue-cola,glue-mnli,glue-mrpc,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.9,glue-cola,glue-mnli,glue-mrpc,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.9500000000000001,glue-cola,glue-mnli,glue-mrpc,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
1.0,glue-cola,glue-mnli,glue-mrpc,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,glue-cola,glue-mnli,glue-qqp,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.05,glue-cola,glue-mnli,glue-qqp,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.1,glue-cola,glue-mnli,glue-qqp,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.15000000000000002,glue-cola,glue-mnli,glue-qqp,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.2,glue-cola,glue-mnli,glue-qqp,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,glue-cola,glue-mnli,glue-qqp,glue-rte,0.015340364333652923,0.0,0.0,0.0,0.007220216606498195,0.0,
0.30000000000000004,glue-cola,glue-mnli,glue-qqp,glue-rte,0.3969319271332694,0.003125,0.0,0.0,0.3140794223826715,0.0011467889908256881,
