scaling_factor,k,dataset:0,dataset:1,dataset:2,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb
0.75,1.0,glue-cola,glue-mnli,glue-sst2,0.5349952061361457,0.00625,0.0,0.0,0.0,0.7889908256880734,
1.0,1.0,glue-cola,glue-mnli,glue-sst2,0.5743048897411314,0.1725,0.0,0.0,0.0,0.8738532110091743,
0.0,0.25,glue-cola,glue-mnli,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.25,glue-cola,glue-mnli,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.25,glue-cola,glue-mnli,glue-stsb,0.014381591562799617,0.000625,0.0,0.0,0.0,0.0,
0.75,0.25,glue-cola,glue-mnli,glue-stsb,0.6529242569511026,0.07875,0.0,0.0,0.0,0.0011467889908256881,-0.004846762078559151
1.0,0.25,glue-cola,glue-mnli,glue-stsb,0.6644295302013423,0.350625,0.0,0.0,0.018050541516245487,0.006880733944954129,0.2967959220849107
0.0,0.5,glue-cola,glue-mnli,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.5,glue-cola,glue-mnli,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.5,glue-cola,glue-mnli,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,0.5,glue-cola,glue-mnli,glue-stsb,0.37583892617449666,0.0075,0.0,0.0,0.0,0.0,
1.0,0.5,glue-cola,glue-mnli,glue-stsb,0.6768935762224353,0.173125,0.0,0.0,0.0036101083032490976,0.0011467889908256881,0.15284340886459388
0.0,0.75,glue-cola,glue-mnli,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.75,glue-cola,glue-mnli,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.75,glue-cola,glue-mnli,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,0.75,glue-cola,glue-mnli,glue-stsb,0.37583892617449666,0.0075,0.0,0.0,0.0,0.0,
1.0,0.75,glue-cola,glue-mnli,glue-stsb,0.6768935762224353,0.173125,0.0,0.0,0.0036101083032490976,0.0011467889908256881,0.15284340886459388
0.0,1.0,glue-cola,glue-mnli,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,1.0,glue-cola,glue-mnli,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,1.0,glue-cola,glue-mnli,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,1.0,glue-cola,glue-mnli,glue-stsb,0.37583892617449666,0.0075,0.0,0.0,0.0,0.0,
1.0,1.0,glue-cola,glue-mnli,glue-stsb,0.6768935762224353,0.173125,0.0,0.0,0.0036101083032490976,0.0011467889908256881,0.15284340886459388
0.0,0.25,glue-cola,glue-mrpc,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.25,glue-cola,glue-mrpc,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.25,glue-cola,glue-mrpc,glue-qqp,0.0364333652924257,0.0,0.0,0.0,0.0,0.0,
0.75,0.25,glue-cola,glue-mrpc,glue-qqp,0.6596356663470757,0.0,0.0,0.005,0.0,0.0045871559633027525,
1.0,0.25,glue-cola,glue-mrpc,glue-qqp,0.6826462128475551,0.0,0.0,0.565,0.0,0.0034403669724770644,
0.0,0.5,glue-cola,glue-mrpc,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.5,glue-cola,glue-mrpc,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.5,glue-cola,glue-mrpc,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
