scaling_factor,k,dataset:0,dataset:1,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb
0.75,0.75,glue-cola,glue-stsb,0.6711409395973155,0.0,0.0,0.0,0.0,0.0034403669724770644,0.09349711698941454
1.0,0.75,glue-cola,glue-stsb,0.6893576222435283,0.0,0.0,0.0,0.0,0.027522935779816515,0.48683293145386375
0.0,1.0,glue-cola,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,1.0,glue-cola,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,1.0,glue-cola,glue-stsb,0.06999041227229147,0.0,0.0,0.0,0.0,0.0,
0.75,1.0,glue-cola,glue-stsb,0.6711409395973155,0.0,0.0,0.0,0.0,0.0034403669724770644,0.09349711698941454
1.0,1.0,glue-cola,glue-stsb,0.6893576222435283,0.0,0.0,0.0,0.0,0.027522935779816515,0.48683293145386375
0.0,0.25,glue-mnli,glue-mrpc,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.25,glue-mnli,glue-mrpc,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.25,glue-mnli,glue-mrpc,0.0,0.00125,0.0,0.0,0.0,0.0,
0.75,0.25,glue-mnli,glue-mrpc,0.0,0.28375,0.0,0.0,0.0,0.0,
1.0,0.25,glue-mnli,glue-mrpc,0.0,0.350625,0.0,0.0,0.16967509025270758,0.0,
0.0,0.5,glue-mnli,glue-mrpc,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.5,glue-mnli,glue-mrpc,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.5,glue-mnli,glue-mrpc,0.0,0.000625,0.0,0.0,0.0,0.0,
0.75,0.5,glue-mnli,glue-mrpc,0.0,0.176875,0.0,0.0,0.0,0.0,
1.0,0.5,glue-mnli,glue-mrpc,0.0,0.3725,0.0,0.0,0.039711191335740074,0.0011467889908256881,
0.0,0.75,glue-mnli,glue-mrpc,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.75,glue-mnli,glue-mrpc,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.75,glue-mnli,glue-mrpc,0.0,0.000625,0.0,0.0,0.0,0.0,
0.75,0.75,glue-mnli,glue-mrpc,0.0,0.176875,0.0,0.0,0.0,0.0,
1.0,0.75,glue-mnli,glue-mrpc,0.0,0.3725,0.0,0.0,0.039711191335740074,0.0011467889908256881,
0.0,1.0,glue-mnli,glue-mrpc,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,1.0,glue-mnli,glue-mrpc,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,1.0,glue-mnli,glue-mrpc,0.0,0.000625,0.0,0.0,0.0,0.0,
0.75,1.0,glue-mnli,glue-mrpc,0.0,0.176875,0.0,0.0,0.0,0.0,
1.0,1.0,glue-mnli,glue-mrpc,0.0,0.3725,0.0,0.0,0.039711191335740074,0.0011467889908256881,
0.0,0.25,glue-mnli,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.25,glue-mnli,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.25,glue-mnli,glue-qqp,0.0,0.000625,0.0,0.0,0.0,0.0,
0.75,0.25,glue-mnli,glue-qqp,0.0,0.1575,0.0,0.096875,0.0,0.0,
