scaling_factor,k,dataset:0,dataset:1,dataset:2,dataset:3,dataset:4,dataset:5,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb
0.7000000000000001,0.75,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,0.2473633748801534,0.01,0.0392156862745098,0.0175,0.2996389891696751,0.5745412844036697,
0.8,0.75,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,0.20613614573346117,0.091875,0.21323529411764705,0.2175,0.3285198555956679,0.49770642201834864,
0.9,0.75,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,0.14285714285714285,0.205,0.30637254901960786,0.44375,0.2996389891696751,0.31077981651376146,
1.0,0.75,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,0.08053691275167785,0.22375,0.3088235294117647,0.5425,0.24187725631768953,0.16399082568807338,
0.0,1.0,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.1,1.0,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.2,1.0,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.30000000000000004,1.0,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.4,1.0,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0034403669724770644,
0.5,1.0,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,0.023969319271332695,0.0,0.0,0.0,0.0,0.06995412844036697,
0.6000000000000001,1.0,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,0.11888782358581017,0.0,0.0,0.0,0.02888086642599278,0.30275229357798167,
