scaling_factor,k,dataset:0,dataset:1,dataset:2,dataset:3,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb
0.4,0.5,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.027804410354745925,0.0,0.0,0.0,0.0,0.0022935779816513763,
0.5,0.5,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.2694151486097795,0.0,0.012254901960784314,0.0,0.0,0.0194954128440367,
0.6000000000000001,0.5,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.4784276126558006,0.0125,0.2622549019607843,0.059375,0.0,0.09174311926605505,
0.7000000000000001,0.5,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.5311601150527325,0.12125,0.48284313725490197,0.28875,0.02888086642599278,0.047018348623853214,
0.8,0.5,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.5129434324065196,0.270625,0.5833333333333334,0.43375,0.04332129963898917,0.006880733944954129,
0.9,0.5,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.4707574304889741,0.29,0.6323529411764706,0.501875,0.02888086642599278,0.0,
1.0,0.5,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.39884947267497606,0.28125,0.6446078431372549,0.509375,0.018050541516245487,0.0,
0.0,0.75,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.1,0.75,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.2,0.75,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.30000000000000004,0.75,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.4,0.75,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.005752636625119847,0.0,0.0,0.0,0.0,0.0,
0.5,0.75,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.11697027804410355,0.0,0.0024509803921568627,0.0,0.0,0.0034403669724770644,
0.6000000000000001,0.75,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.37392138063279,0.001875,0.08088235294117647,0.00375,0.0,0.04357798165137615,
0.7000000000000001,0.75,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.4947267497603068,0.021875,0.36519607843137253,0.089375,0.0,0.08027522935779817,
0.8,0.75,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.5148609779482263,0.111875,0.5318627450980392,0.244375,0.02527075812274368,0.02522935779816514,
0.9,0.75,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.4928092042186002,0.235625,0.5955882352941176,0.353125,0.032490974729241874,0.005733944954128441,
1.0,0.75,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.4448705656759348,0.2625,0.6274509803921569,0.394375,0.018050541516245487,0.0,
0.0,1.0,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.1,1.0,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.2,1.0,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.30000000000000004,1.0,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.4,1.0,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,1.0,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.04697986577181208,0.0,0.0,0.0,0.0,0.0022935779816513763,
0.6000000000000001,1.0,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.2684563758389262,0.0,0.012254901960784314,0.0,0.0,0.020642201834862386,
0.7000000000000001,1.0,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.4429530201342282,0.00625,0.18137254901960784,0.0125,0.0,0.07568807339449542,
0.8,1.0,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.49089165867689355,0.03625,0.4632352941176471,0.115,0.0,0.04931192660550459,
0.9,1.0,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.4956855225311601,0.129375,0.5637254901960784,0.240625,0.021660649819494584,0.011467889908256881,
1.0,1.0,glue-cola,glue-mnli,glue-mrpc,glue-qqp,0.4592521572387344,0.22875,0.6127450980392157,0.3325,0.018050541516245487,0.0011467889908256881,
0.0,0.25,glue-cola,glue-mnli,glue-mrpc,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.1,0.25,glue-cola,glue-mnli,glue-mrpc,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.2,0.25,glue-cola,glue-mnli,glue-mrpc,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.30000000000000004,0.25,glue-cola,glue-mnli,glue-mrpc,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.4,0.25,glue-cola,glue-mnli,glue-mrpc,glue-rte,0.07190795781399809,0.0,0.0,0.0,0.0,0.0011467889908256881,
0.5,0.25,glue-cola,glue-mnli,glue-mrpc,glue-rte,0.3844678811121764,0.000625,0.0,0.0,0.07942238267148015,0.01261467889908257,
0.6000000000000001,0.25,glue-cola,glue-mnli,glue-mrpc,glue-rte,0.5426653883029722,0.115625,0.0,0.0,0.41155234657039713,0.013761467889908258,
0.7000000000000001,0.25,glue-cola,glue-mnli,glue-mrpc,glue-rte,0.548418024928092,0.35125,0.004901960784313725,0.0,0.5126353790613718,0.0022935779816513763,
0.8,0.25,glue-cola,glue-mnli,glue-mrpc,glue-rte,0.5282837967401726,0.398125,0.004901960784313725,0.0,0.7003610108303249,0.0,
0.9,0.25,glue-cola,glue-mnli,glue-mrpc,glue-rte,0.4793863854266539,0.424375,0.014705882352941176,0.0,0.7003610108303249,0.0,
1.0,0.25,glue-cola,glue-mnli,glue-mrpc,glue-rte,0.4247363374880153,0.433125,0.022058823529411766,0.0,0.631768953068592,0.0,
0.0,0.5,glue-cola,glue-mnli,glue-mrpc,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.1,0.5,glue-cola,glue-mnli,glue-mrpc,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.2,0.5,glue-cola,glue-mnli,glue-mrpc,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.30000000000000004,0.5,glue-cola,glue-mnli,glue-mrpc,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.4,0.5,glue-cola,glue-mnli,glue-mrpc,glue-rte,0.05081495685522531,0.0,0.0,0.0,0.05776173285198556,0.0011467889908256881,
0.5,0.5,glue-cola,glue-mnli,glue-mrpc,glue-rte,0.3585810162991371,0.01625,0.012254901960784314,0.0,0.3862815884476534,0.005733944954128441,
0.6000000000000001,0.5,glue-cola,glue-mnli,glue-mrpc,glue-rte,0.5704697986577181,0.218125,0.17892156862745098,0.0,0.48014440433212996,0.020642201834862386,
0.7000000000000001,0.5,glue-cola,glue-mnli,glue-mrpc,glue-rte,0.588686481303931,0.33875,0.2647058823529412,0.0,0.5451263537906137,0.010321100917431193,
0.8,0.5,glue-cola,glue-mnli,glue-mrpc,glue-rte,0.5723873441994247,0.369375,0.27205882352941174,0.0,0.516245487364621,0.0,
0.9,0.5,glue-cola,glue-mnli,glue-mrpc,glue-rte,0.5599232981783318,0.408125,0.2867647058823529,0.0,0.44765342960288806,0.0,
1.0,0.5,glue-cola,glue-mnli,glue-mrpc,glue-rte,0.5023969319271333,0.423125,0.30637254901960786,0.0,0.3574007220216607,0.0,
0.0,0.75,glue-cola,glue-mnli,glue-mrpc,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.1,0.75,glue-cola,glue-mnli,glue-mrpc,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.2,0.75,glue-cola,glue-mnli,glue-mrpc,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.30000000000000004,0.75,glue-cola,glue-mnli,glue-mrpc,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.4,0.75,glue-cola,glue-mnli,glue-mrpc,glue-rte,0.01725790987535954,0.0,0.0,0.0,0.010830324909747292,0.0,
0.5,0.75,glue-cola,glue-mnli,glue-mrpc,glue-rte,0.17353787152444872,0.00125,0.0,0.0,0.2563176895306859,0.0011467889908256881,
0.6000000000000001,0.75,glue-cola,glue-mnli,glue-mrpc,glue-rte,0.4563758389261745,0.05875,0.03676470588235294,0.0,0.4368231046931408,0.013761467889908258,
0.7000000000000001,0.75,glue-cola,glue-mnli,glue-mrpc,glue-rte,0.5589645254074784,0.28125,0.24019607843137256,0.0,0.5054151624548736,0.014908256880733946,
0.8,0.75,glue-cola,glue-mnli,glue-mrpc,glue-rte,0.5627996164908916,0.338125,0.25980392156862747,0.0,0.5415162454873647,0.0045871559633027525,
0.9,0.75,glue-cola,glue-mnli,glue-mrpc,glue-rte,0.5522531160115053,0.3575,0.2696078431372549,0.0,0.51985559566787,0.0,
