scaling_factor,k,dataset:0,dataset:1,dataset:2,dataset:3,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb
1.0,0.25,glue-cola,glue-mnli,glue-mrpc,glue-stsb,0.6701821668264621,0.25,0.0,0.0,0.0,0.0,0.11697796022361216
0.0,0.5,glue-cola,glue-mnli,glue-mrpc,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.5,glue-cola,glue-mnli,glue-mrpc,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.5,glue-cola,glue-mnli,glue-mrpc,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,0.5,glue-cola,glue-mnli,glue-mrpc,glue-stsb,0.1332694151486098,0.000625,0.0,0.0,0.0,0.0,
1.0,0.5,glue-cola,glue-mnli,glue-mrpc,glue-stsb,0.62607861936721,0.081875,0.0,0.0,0.0,0.0011467889908256881,0.030836018017670493
0.0,0.75,glue-cola,glue-mnli,glue-mrpc,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.75,glue-cola,glue-mnli,glue-mrpc,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.75,glue-cola,glue-mnli,glue-mrpc,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,0.75,glue-cola,glue-mnli,glue-mrpc,glue-stsb,0.1332694151486098,0.000625,0.0,0.0,0.0,0.0,
1.0,0.75,glue-cola,glue-mnli,glue-mrpc,glue-stsb,0.62607861936721,0.081875,0.0,0.0,0.0,0.0011467889908256881,0.030836018017670493
0.0,1.0,glue-cola,glue-mnli,glue-mrpc,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,1.0,glue-cola,glue-mnli,glue-mrpc,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,1.0,glue-cola,glue-mnli,glue-mrpc,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,1.0,glue-cola,glue-mnli,glue-mrpc,glue-stsb,0.1332694151486098,0.000625,0.0,0.0,0.0,0.0,
1.0,1.0,glue-cola,glue-mnli,glue-mrpc,glue-stsb,0.62607861936721,0.081875,0.0,0.0,0.0,0.0011467889908256881,0.030836018017670493
0.0,0.25,glue-cola,glue-mnli,glue-qqp,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.25,glue-cola,glue-mnli,glue-qqp,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.25,glue-cola,glue-mnli,glue-qqp,glue-rte,0.0009587727708533077,0.0,0.0,0.0,0.0,0.0,
0.75,0.25,glue-cola,glue-mnli,glue-qqp,glue-rte,0.49089165867689355,0.005,0.0,0.0,0.24187725631768953,0.0022935779816513763,
1.0,0.25,glue-cola,glue-mnli,glue-qqp,glue-rte,0.6481303930968361,0.17625,0.0,0.115625,0.5415162454873647,0.03211009174311927,
0.0,0.5,glue-cola,glue-mnli,glue-qqp,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.5,glue-cola,glue-mnli,glue-qqp,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.5,glue-cola,glue-mnli,glue-qqp,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,0.5,glue-cola,glue-mnli,glue-qqp,glue-rte,0.05177372962607862,0.00125,0.0,0.0,0.032490974729241874,0.0,
1.0,0.5,glue-cola,glue-mnli,glue-qqp,glue-rte,0.5196548418024928,0.021875,0.0,0.0,0.48014440433212996,0.0022935779816513763,
0.0,0.75,glue-cola,glue-mnli,glue-qqp,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.75,glue-cola,glue-mnli,glue-qqp,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.75,glue-cola,glue-mnli,glue-qqp,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,0.75,glue-cola,glue-mnli,glue-qqp,glue-rte,0.05177372962607862,0.00125,0.0,0.0,0.032490974729241874,0.0,
1.0,0.75,glue-cola,glue-mnli,glue-qqp,glue-rte,0.5196548418024928,0.021875,0.0,0.0,0.48014440433212996,0.0022935779816513763,
0.0,1.0,glue-cola,glue-mnli,glue-qqp,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,1.0,glue-cola,glue-mnli,glue-qqp,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,1.0,glue-cola,glue-mnli,glue-qqp,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,1.0,glue-cola,glue-mnli,glue-qqp,glue-rte,0.05177372962607862,0.00125,0.0,0.0,0.032490974729241874,0.0,
1.0,1.0,glue-cola,glue-mnli,glue-qqp,glue-rte,0.5196548418024928,0.021875,0.0,0.0,0.48014440433212996,0.0022935779816513763,
0.0,0.25,glue-cola,glue-mnli,glue-qqp,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.25,glue-cola,glue-mnli,glue-qqp,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.25,glue-cola,glue-mnli,glue-qqp,glue-sst2,0.0028763183125599234,0.0,0.0,0.0,0.0,0.05504587155963303,
0.75,0.25,glue-cola,glue-mnli,glue-qqp,glue-sst2,0.5925215723873442,0.026875,0.0,0.0,0.0,0.7889908256880734,
1.0,0.25,glue-cola,glue-mnli,glue-qqp,glue-sst2,0.4333652924256951,0.229375,0.0,0.034375,0.0,0.8371559633027523,
0.0,0.5,glue-cola,glue-mnli,glue-qqp,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.5,glue-cola,glue-mnli,glue-qqp,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.5,glue-cola,glue-mnli,glue-qqp,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.006880733944954129,
0.75,0.5,glue-cola,glue-mnli,glue-qqp,glue-sst2,0.27708533077660596,0.001875,0.0,0.0,0.0,0.44036697247706424,
1.0,0.5,glue-cola,glue-mnli,glue-qqp,glue-sst2,0.576222435282838,0.0925,0.0,0.0,0.0,0.8463302752293578,
0.0,0.75,glue-cola,glue-mnli,glue-qqp,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.75,glue-cola,glue-mnli,glue-qqp,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.75,glue-cola,glue-mnli,glue-qqp,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.006880733944954129,
0.75,0.75,glue-cola,glue-mnli,glue-qqp,glue-sst2,0.27708533077660596,0.001875,0.0,0.0,0.0,0.44036697247706424,
1.0,0.75,glue-cola,glue-mnli,glue-qqp,glue-sst2,0.576222435282838,0.0925,0.0,0.0,0.0,0.8463302752293578,
0.0,1.0,glue-cola,glue-mnli,glue-qqp,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
