scaling_factor,k,dataset:0,dataset:1,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN
0.25,0.5,Cars,EuroSAT,0.5504290511130456,0.4021276595744681,0.2633333333333333,0.2731591448931116,0.4579365079365079,0.6137027707808564,0.0888905961893054
0.5,0.5,Cars,EuroSAT,0.5689590846909588,0.4053191489361702,0.4085185185185185,0.286381631037213,0.4698412698412698,0.6177329974811083,0.0889290104486785
0.75,0.5,Cars,EuroSAT,0.5961945031712473,0.4143617021276595,0.5255555555555556,0.3004750593824228,0.4842857142857142,0.6244332493702771,0.0907728948985863
1.0,0.5,Cars,EuroSAT,0.6169630642954856,0.4154255319148936,0.6277777777777778,0.3045922406967538,0.4879365079365079,0.627455919395466,0.0923094652735095
0.0,0.75,Cars,EuroSAT,0.5365004352692451,0.400531914893617,0.2185185185185185,0.2635787806809184,0.4479365079365079,0.6108816120906801,0.0890826674861708
0.25,0.75,Cars,EuroSAT,0.5510508643203582,0.4015957446808511,0.2755555555555555,0.2718131433095803,0.4580952380952381,0.6144584382871536,0.0884680393362015
0.5,0.75,Cars,EuroSAT,0.5730630518592215,0.4074468085106383,0.4492592592592592,0.2852731591448931,0.4733333333333333,0.6194962216624685,0.0881607252612169
0.75,0.75,Cars,EuroSAT,0.6022882726029101,0.4175531914893617,0.5888888888888889,0.2959619952494062,0.4888888888888889,0.6249874055415617,0.0885832821143208
1.0,0.75,Cars,EuroSAT,0.6218132073125233,0.4132978723404255,0.7296296296296296,0.2980997624703088,0.4874603174603175,0.6281612090680101,0.0893131530424093
0.0,1.0,Cars,EuroSAT,0.5365004352692451,0.400531914893617,0.2185185185185185,0.2635787806809184,0.4479365079365079,0.6108816120906801,0.0890826674861708
0.25,1.0,Cars,EuroSAT,0.5493097873398831,0.4021276595744681,0.27,0.2714172604908947,0.456984126984127,0.6137531486146096,0.0885832821143208
0.5,1.0,Cars,EuroSAT,0.5678398209177963,0.4079787234042553,0.4285185185185185,0.2844022169437846,0.4703174603174603,0.6184382871536523,0.0885064535955746
0.75,1.0,Cars,EuroSAT,0.5929610744932222,0.4164893617021276,0.552962962962963,0.2959619952494062,0.4842857142857142,0.624080604534005,0.0890442532267977
1.0,1.0,Cars,EuroSAT,0.6117398333540605,0.4154255319148936,0.6933333333333334,0.2983372921615201,0.4892063492063492,0.6268513853904282,0.0899277811923786
0.0,0.25,Cars,GTSRB,0.5365004352692451,0.400531914893617,0.2185185185185185,0.2635787806809184,0.4479365079365079,0.6108816120906801,0.0890826674861708
0.25,0.25,Cars,GTSRB,0.5422211167765203,0.4,0.2196296296296296,0.27458432304038,0.4501587301587301,0.6112342569269521,0.0903887523048555
0.5,0.25,Cars,GTSRB,0.5499316005471956,0.4021276595744681,0.2218518518518518,0.2961203483768804,0.4534920634920635,0.6134005037783375,0.0921173939766441
0.75,0.25,Cars,GTSRB,0.5572689963934834,0.4031914893617021,0.2222222222222222,0.3281076801266825,0.4615873015873016,0.6180352644836272,0.0952289489858635
1.0,0.25,Cars,GTSRB,0.5694565352568088,0.400531914893617,0.2181481481481481,0.3624703087885986,0.4680952380952381,0.6213098236775819,0.1006837738168408
0.0,0.5,Cars,GTSRB,0.5365004352692451,0.400531914893617,0.2185185185185185,0.2635787806809184,0.4479365079365079,0.6108816120906801,0.0890826674861708
0.25,0.5,Cars,GTSRB,0.5499316005471956,0.4021276595744681,0.2233333333333333,0.3030878859857482,0.4536507936507936,0.6140050377833753,0.0939612784265519
