scaling_factor,dataset:0,dataset:1,dataset:2,dataset:3,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN
0.05,Cars,DTD,EuroSAT,SVHN,0.5425942047009078,0.4069148936170212,0.2325925925925926,0.2678543151227237,0.4525396825396825,0.6124433249370277,0.0926936078672403
0.1,Cars,DTD,EuroSAT,SVHN,0.5508021390374331,0.4154255319148936,0.2581481481481481,0.2756136183689628,0.4606349206349206,0.6147607052896725,0.0996465888137676
0.15,Cars,DTD,EuroSAT,SVHN,0.5592587986568834,0.4244680851063829,0.2896296296296296,0.2842438638163104,0.4703174603174603,0.617984886649874,0.1120928088506453
0.2,Cars,DTD,EuroSAT,SVHN,0.5694565352568088,0.4356382978723404,0.3592592592592593,0.2922406967537609,0.4831746031746032,0.6218136020151134,0.1317224953902888
0.25,Cars,DTD,EuroSAT,SVHN,0.5810222609128218,0.4526595744680851,0.4296296296296296,0.2976247030878859,0.4931746031746031,0.6257430730478589,0.1642977873386601
0.3,Cars,DTD,EuroSAT,SVHN,0.5901007337395846,0.4617021276595744,0.4581481481481481,0.3029295328582739,0.5031746031746032,0.6238790931989925,0.2166180086047941
0.35,Cars,DTD,EuroSAT,SVHN,0.5989304812834224,0.4728723404255319,0.4792592592592593,0.3091053048297704,0.506984126984127,0.6221662468513854,0.311539643515673
0.4,Cars,DTD,EuroSAT,SVHN,0.6077602288272603,0.4840425531914893,0.4988888888888889,0.3149643705463183,0.506031746031746,0.6136523929471033,0.4338890596189305
0.45,Cars,DTD,EuroSAT,SVHN,0.6119885586369854,0.4898936170212766,0.5037037037037037,0.3179730799683293,0.5044444444444445,0.6023173803526448,0.482559926244622
0.5,Cars,DTD,EuroSAT,SVHN,0.613605272975998,0.4904255319148936,0.4425925925925926,0.319556611243072,0.4933333333333333,0.585793450881612,0.4851720958819914
0.55,Cars,DTD,EuroSAT,SVHN,0.6107449322223604,0.4930851063829787,0.4051851851851852,0.3192399049881235,0.4852380952380952,0.5697732997481109,0.4560156730178242
0.6000000000000001,Cars,DTD,EuroSAT,SVHN,0.6088794926004228,0.4835106382978723,0.377037037037037,0.3167062549485352,0.4619047619047619,0.5512342569269522,0.4106484326982176
0.65,Cars,DTD,EuroSAT,SVHN,0.6020395473199851,0.4675531914893617,0.3266666666666666,0.3003958828186857,0.43,0.5287153652392947,0.3664720344191764
0.7000000000000001,Cars,DTD,EuroSAT,SVHN,0.5821415246859843,0.449468085106383,0.2651851851851852,0.2791765637371338,0.3873015873015873,0.4981863979848867,0.3261370620774431
