scaling_factor,k,dataset:0,dataset:1,dataset:2,dataset:3,dataset:4,dataset:5,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN
0.75,0.5,Cars,DTD,EuroSAT,GTSRB,RESISC45,SVHN,0.53227210545952,0.3898936170212766,0.21555555555555556,0.2554235946159937,0.44682539682539685,0.6032241813602015,0.0819760295021512
1.0,0.5,Cars,DTD,EuroSAT,GTSRB,RESISC45,SVHN,0.5312772043278199,0.38670212765957446,0.21037037037037037,0.25162311955661126,0.4438095238095238,0.5988413098236776,0.08036263060848187
0.0,0.75,Cars,DTD,EuroSAT,GTSRB,RESISC45,SVHN,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.25,0.75,Cars,DTD,EuroSAT,GTSRB,RESISC45,SVHN,0.5346349956473075,0.39680851063829786,0.21888888888888888,0.26167854315122724,0.44492063492063494,0.6086146095717884,0.08647049784880148
0.5,0.75,Cars,DTD,EuroSAT,GTSRB,RESISC45,SVHN,0.5323964681009825,0.3941489361702128,0.2174074074074074,0.25938242280285034,0.44317460317460317,0.6063476070528967,0.08489551321450522
0.75,0.75,Cars,DTD,EuroSAT,GTSRB,RESISC45,SVHN,0.5280437756497948,0.3898936170212766,0.21666666666666667,0.2564528899445764,0.44142857142857145,0.603727959697733,0.08259065765212047
1.0,0.75,Cars,DTD,EuroSAT,GTSRB,RESISC45,SVHN,0.5243128964059197,0.38563829787234044,0.21407407407407408,0.2531274742676168,0.44031746031746033,0.6015617128463476,0.08055470190534726
0.0,1.0,Cars,DTD,EuroSAT,GTSRB,RESISC45,SVHN,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.25,1.0,Cars,DTD,EuroSAT,GTSRB,RESISC45,SVHN,0.5346349956473075,0.39893617021276595,0.21851851851851853,0.2612034837688044,0.44555555555555554,0.6089168765743073,0.08677781192378611
0.5,1.0,Cars,DTD,EuroSAT,GTSRB,RESISC45,SVHN,0.5320233801765949,0.3952127659574468,0.21777777777777776,0.2599366587490103,0.44412698412698415,0.6066498740554156,0.08481868469575907
0.75,1.0,Cars,DTD,EuroSAT,GTSRB,RESISC45,SVHN,0.5287899514985698,0.3893617021276596,0.21555555555555556,0.25756136183689626,0.44365079365079363,0.6052896725440806,0.08328211432083589
1.0,1.0,Cars,DTD,EuroSAT,GTSRB,RESISC45,SVHN,0.5266757865937073,0.3882978723404255,0.21518518518518517,0.2539192399049881,0.4426984126984127,0.6031738035264483,0.08113091579594345
0.0,0.25,Cars,DTD,EuroSAT,GTSRB,SUN397,SVHN,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.25,0.25,Cars,DTD,EuroSAT,GTSRB,SUN397,SVHN,0.5376196990424077,0.39893617021276595,0.21851851851851853,0.2634204275534442,0.44682539682539685,0.6110831234256927,0.08873693915181315
0.5,0.25,Cars,DTD,EuroSAT,GTSRB,SUN397,SVHN,0.5369978858350951,0.39893617021276595,0.21888888888888888,0.26357878068091845,0.44761904761904764,0.6105289672544081,0.08854486785494775
0.75,0.25,Cars,DTD,EuroSAT,GTSRB,SUN397,SVHN,0.5369978858350951,0.400531914893617,0.21962962962962962,0.26365795724465557,0.44841269841269843,0.6104785894206549,0.0882759680393362
