dataset:0,dataset:1,dataset:2,dataset:3,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN
Cars,EuroSAT,RESISC45,SUN397,0.626165899763711,0.4090425531914893,0.7481481481481481,0.2832937450514647,0.6606349206349207,0.6101259445843829,0.0910417947141979
Cars,EuroSAT,RESISC45,SVHN,0.5464494465862455,0.3813829787234042,0.5696296296296296,0.273396674584323,0.7292063492063492,0.5825188916876575,0.659880147510756
Cars,EuroSAT,SUN397,SVHN,0.571695062803134,0.4202127659574468,0.6774074074074075,0.3113222486144101,0.4836507936507936,0.6329974811083123,0.6173171481253842
Cars,GTSRB,RESISC45,SUN397,0.60029847033951,0.3914893617021276,0.3211111111111111,0.6920031670625495,0.656984126984127,0.5946095717884131,0.1971035648432698
Cars,GTSRB,RESISC45,SVHN,0.6083820420345728,0.399468085106383,0.3003703703703703,0.5656373713380839,0.6692063492063492,0.5853904282115869,0.6233097725875845
Cars,GTSRB,SUN397,SVHN,0.6167143390125607,0.4117021276595745,0.2485185185185185,0.6068091844813935,0.5338095238095238,0.6298740554156171,0.6639520590043024
Cars,RESISC45,SUN397,SVHN,0.5959457778883224,0.4079787234042553,0.2211111111111111,0.2856690419635788,0.6841269841269841,0.605088161209068,0.8010525507068224
DTD,EuroSAT,GTSRB,RESISC45,0.4979480164158686,0.4175531914893617,0.4518518518518518,0.5745843230403801,0.6853968253968254,0.5880100755667507,0.1835433312845728
DTD,EuroSAT,GTSRB,SUN397,0.5406044024375077,0.4617021276595744,0.5396296296296297,0.5479809976247031,0.5123809523809524,0.6253904282115869,0.1392901044867855
DTD,EuroSAT,GTSRB,SVHN,0.5347593582887701,0.4414893617021276,0.4314814814814814,0.5744259699129057,0.5106349206349207,0.6007556675062973,0.6270359557467732
DTD,EuroSAT,RESISC45,SUN397,0.533018281308295,0.451063829787234,0.7577777777777778,0.288202692003167,0.636984126984127,0.6104785894206549,0.0943070067609096
DTD,EuroSAT,RESISC45,SVHN,0.5187165775401069,0.4037234042553191,0.5618518518518518,0.281076801266825,0.6992063492063492,0.5882619647355164,0.6680623847572219
DTD,EuroSAT,SUN397,SVHN,0.5429672926252953,0.4212765957446808,0.7140740740740741,0.3087094220110847,0.476031746031746,0.6282115869017633,0.6193531038721574
DTD,GTSRB,RESISC45,SUN397,0.5019276209426689,0.4191489361702127,0.3107407407407407,0.6989707046714173,0.6334920634920634,0.6027707808564232,0.2113936693300553
DTD,GTSRB,RESISC45,SVHN,0.518965302823032,0.426595744680851,0.2777777777777778,0.5827395091053048,0.6382539682539683,0.5732493702770781,0.6205823601720959
DTD,GTSRB,SUN397,SVHN,0.5397338639472702,0.4521276595744681,0.21296296296296297,0.6079176563737134,0.5295238095238095,0.6206045340050378,0.6467424708051629
DTD,RESISC45,SUN397,SVHN,0.5347593582887701,0.4329787234042553,0.21444444444444444,0.2871733966745843,0.6819047619047619,0.6165743073047859,0.8128073140749846
EuroSAT,GTSRB,RESISC45,SUN397,0.4893669941549558,0.37659574468085105,0.4559259259259259,0.5874109263657957,0.7361904761904762,0.5991939546599496,0.176359864781807
EuroSAT,GTSRB,RESISC45,SVHN,0.5168511379181694,0.3898936170212766,0.43148148148148147,0.5357878068091845,0.7307936507936508,0.5908816120906801,0.5630762138905961
EuroSAT,GTSRB,SUN397,SVHN,0.546325083944783,0.4186170212765957,0.5081481481481481,0.5885985748218527,0.5258730158730158,0.631183879093199,0.5961893054701906
EuroSAT,RESISC45,SUN397,SVHN,0.5170998632010944,0.3829787234042553,0.5637037037037037,0.2703087885985748,0.7288888888888889,0.5980856423173804,0.6664489858635525
GTSRB,RESISC45,SUN397,SVHN,0.5320233801765949,0.39893617021276595,0.31444444444444447,0.5627870150435471,0.6865079365079365,0.619345088161209,0.626959127228027
