scaling_factor,k,dataset:0,dataset:1,dataset:2,dataset:3,dataset:4,dataset:5,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN
1.0,1.0,Cars,DTD,EuroSAT,GTSRB,SUN397,SVHN,0.5755503046884716,0.474468085106383,0.45740740740740743,0.411243072050673,0.5201587301587302,0.6336020151133501,0.2921020282728949
0.0,0.25,Cars,DTD,EuroSAT,RESISC45,SUN397,SVHN,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.25,0.25,Cars,DTD,EuroSAT,RESISC45,SUN397,SVHN,0.5407287650789703,0.41117021276595744,0.2311111111111111,0.2702296120348377,0.4653968253968254,0.6163727959697733,0.09292409342347879
0.5,0.25,Cars,DTD,EuroSAT,RESISC45,SUN397,SVHN,0.544584006964308,0.4340425531914894,0.2577777777777778,0.2803642121931908,0.5009523809523809,0.6253904282115869,0.10110633066994468
0.75,0.25,Cars,DTD,EuroSAT,RESISC45,SUN397,SVHN,0.5397338639472702,0.45585106382978724,0.29555555555555557,0.29081551860649246,0.5422222222222223,0.6322418136020151,0.11489704978488015
1.0,0.25,Cars,DTD,EuroSAT,RESISC45,SUN397,SVHN,0.5271732371595572,0.4723404255319149,0.3325925925925926,0.3003958828186857,0.5846031746031746,0.6306801007556675,0.13717732022126614
0.0,0.5,Cars,DTD,EuroSAT,RESISC45,SUN397,SVHN,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.25,0.5,Cars,DTD,EuroSAT,RESISC45,SUN397,SVHN,0.5462007213033205,0.4186170212765957,0.25666666666666665,0.27577197149643706,0.47873015873015873,0.6191939546599496,0.09857098955132144
0.5,0.5,Cars,DTD,EuroSAT,RESISC45,SUN397,SVHN,0.5580151722422584,0.4441489361702128,0.3433333333333333,0.2891528107680127,0.5360317460317461,0.6322921914357683,0.12227258758451137
0.75,0.5,Cars,DTD,EuroSAT,RESISC45,SUN397,SVHN,0.5688347220494964,0.4797872340425532,0.447037037037037,0.3037212984956453,0.5871428571428572,0.6387909319899244,0.17347879532882607
