scaling_factor,k,dataset:0,dataset:1,dataset:2,dataset:3,dataset:4,dataset:5,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN
0.75,0.75,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.6866061435144882,0.5223404255319148,0.9181481481481482,0.5276326207442597,0.7976190476190477,0.7000503778337531,0.22752765826674862
1.0,0.75,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.6940679020022386,0.5297872340425532,0.9462962962962963,0.6125098970704671,0.8307936507936508,0.7004030226700252,0.2529963122311002
0.0,1.0,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.25,1.0,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.6027857231687601,0.45691489361702126,0.5055555555555555,0.34267616785431515,0.6003174603174604,0.6550125944584383,0.12937922556853104
0.5,1.0,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.6491729884342743,0.4925531914893617,0.7340740740740741,0.4107680126682502,0.696031746031746,0.6826196473551638,0.17724339274738782
0.75,1.0,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.6783982091779629,0.5196808510638298,0.8896296296296297,0.4977038796516231,0.7687301587301587,0.6957682619647355,0.21949907805777505
1.0,1.0,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.6945653525680886,0.5308510638297872,0.9340740740740741,0.5877276326207442,0.819047619047619,0.7004534005037784,0.25568531038721576
0.0,0.25,Cars,DTD,EuroSAT,GTSRB,RESISC45,SVHN,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.25,0.25,Cars,DTD,EuroSAT,GTSRB,RESISC45,SVHN,0.6106205695808979,0.4675531914893617,0.5522222222222222,0.36342042755344417,0.626984126984127,0.631536523929471,0.2831899200983405
0.5,0.25,Cars,DTD,EuroSAT,GTSRB,RESISC45,SVHN,0.6583758239024997,0.5111702127659574,0.8077777777777778,0.4855106888361045,0.7398412698412699,0.6305793450881612,0.673978180700676
0.75,0.25,Cars,DTD,EuroSAT,GTSRB,RESISC45,SVHN,0.6879741325705758,0.5361702127659574,0.9055555555555556,0.6118764845605701,0.8131746031746032,0.610831234256927,0.8728488014751076
1.0,0.25,Cars,DTD,EuroSAT,GTSRB,RESISC45,SVHN,0.6928242755876135,0.5462765957446809,0.9248148148148149,0.7,0.8282539682539682,0.5753652392947103,0.9272049784880148
0.0,0.5,Cars,DTD,EuroSAT,GTSRB,RESISC45,SVHN,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.25,0.5,Cars,DTD,EuroSAT,GTSRB,RESISC45,SVHN,0.6119885586369854,0.4654255319148936,0.5748148148148148,0.3625494853523357,0.6309523809523809,0.6324433249370277,0.3018976644130301
0.5,0.5,Cars,DTD,EuroSAT,GTSRB,RESISC45,SVHN,0.6613605272975998,0.5042553191489362,0.8144444444444444,0.47490102929532857,0.7363492063492063,0.629168765743073,0.678779963122311
0.75,0.5,Cars,DTD,EuroSAT,GTSRB,RESISC45,SVHN,0.6847407038925507,0.527127659574468,0.9088888888888889,0.5893903404592241,0.8093650793650794,0.6109319899244332,0.8588660110633067
1.0,0.5,Cars,DTD,EuroSAT,GTSRB,RESISC45,SVHN,0.6838701654023132,0.5164893617021277,0.924074074074074,0.6790182106096595,0.8266666666666667,0.5724433249370277,0.9154886293792256
0.0,0.75,Cars,DTD,EuroSAT,GTSRB,RESISC45,SVHN,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.25,0.75,Cars,DTD,EuroSAT,GTSRB,RESISC45,SVHN,0.6051486133565477,0.45851063829787236,0.5477777777777778,0.3545526524148852,0.6139682539682539,0.6314357682619647,0.2633297480024585
0.5,0.75,Cars,DTD,EuroSAT,GTSRB,RESISC45,SVHN,0.654271856734237,0.49361702127659574,0.7696296296296297,0.4524148851939826,0.7107936507936508,0.6329974811083123,0.599339274738783
0.75,0.75,Cars,DTD,EuroSAT,GTSRB,RESISC45,SVHN,0.6800149235169755,0.5218085106382979,0.8874074074074074,0.5561361836896279,0.7874603174603174,0.6193954659949622,0.7956361401352182
1.0,0.75,Cars,DTD,EuroSAT,GTSRB,RESISC45,SVHN,0.6869792314388757,0.5276595744680851,0.9203703703703704,0.6513064133016627,0.8211111111111111,0.5965743073047859,0.8867163491087892
0.0,1.0,Cars,DTD,EuroSAT,GTSRB,RESISC45,SVHN,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.25,1.0,Cars,DTD,EuroSAT,GTSRB,RESISC45,SVHN,0.5994279318492725,0.45372340425531915,0.5059259259259259,0.3492478226444972,0.594920634920635,0.6305289672544081,0.22672095881991394
0.5,1.0,Cars,DTD,EuroSAT,GTSRB,RESISC45,SVHN,0.6417112299465241,0.48404255319148937,0.7185185185185186,0.4349960411718131,0.6834920634920635,0.6351637279596978,0.5117931776275353
0.75,1.0,Cars,DTD,EuroSAT,GTSRB,RESISC45,SVHN,0.6742942420097003,0.5138297872340426,0.8551851851851852,0.5320665083135392,0.7525396825396825,0.6258942065491184,0.7312922556853104
1.0,1.0,Cars,DTD,EuroSAT,GTSRB,RESISC45,SVHN,0.6887203084193508,0.5308510638297872,0.9114814814814814,0.6290577988915281,0.8074603174603174,0.6113350125944584,0.8500691456668715
0.0,0.25,Cars,DTD,EuroSAT,GTSRB,SUN397,SVHN,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.25,0.25,Cars,DTD,EuroSAT,GTSRB,SUN397,SVHN,0.6106205695808979,0.4723404255319149,0.5255555555555556,0.3672209026128266,0.523968253968254,0.666801007556675,0.28422710510141364
0.5,0.25,Cars,DTD,EuroSAT,GTSRB,SUN397,SVHN,0.6639721427683124,0.5196808510638298,0.7288888888888889,0.4905779889152811,0.5349206349206349,0.7013098236775819,0.6987553779963123
0.75,0.25,Cars,DTD,EuroSAT,GTSRB,SUN397,SVHN,0.6929486382290759,0.5537234042553192,0.8314814814814815,0.6379255740300871,0.5022222222222222,0.7139546599496222,0.8933236017209588
1.0,0.25,Cars,DTD,EuroSAT,GTSRB,SUN397,SVHN,0.6955602536997886,0.5611702127659575,0.8611111111111112,0.7543151227236738,0.44841269841269843,0.708816120906801,0.9468730792870313
0.0,0.5,Cars,DTD,EuroSAT,GTSRB,SUN397,SVHN,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.25,0.5,Cars,DTD,EuroSAT,GTSRB,SUN397,SVHN,0.6154707125979356,0.4696808510638298,0.5511111111111111,0.36611243072050675,0.53,0.6653904282115869,0.30739090350338044
