scaling_factor,dataset:0,dataset:1,dataset:2,dataset:3,dataset:4,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN
0.8500000000000001,Cars,DTD,EuroSAT,GTSRB,SUN397,0.32632757119761224,0.3351063829787234,0.717037037037037,0.8209817893903405,0.17174603174603176,0.21380352644836273,0.23847572218807622
0.9,Cars,DTD,EuroSAT,GTSRB,SUN397,0.23330431538365876,0.3148936170212766,0.6514814814814814,0.785827395091053,0.1519047619047619,0.1526448362720403,0.20724492931776275
0.9500000000000001,Cars,DTD,EuroSAT,GTSRB,SUN397,0.1519711478671807,0.2904255319148936,0.5825925925925926,0.7401425178147268,0.13174603174603175,0.1073551637279597,0.18139213275968039
1.0,Cars,DTD,EuroSAT,GTSRB,SUN397,0.08742693694814078,0.26170212765957446,0.5011111111111111,0.6821060965954078,0.11698412698412698,0.07476070528967255,0.15972649047326368
0.0,Cars,DTD,EuroSAT,GTSRB,SVHN,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.05,Cars,DTD,EuroSAT,GTSRB,SVHN,0.5812709861957468,0.4441489361702128,0.38407407407407407,0.343784639746635,0.4961904761904762,0.6231738035264484,0.1727105101413645
0.1,Cars,DTD,EuroSAT,GTSRB,SVHN,0.6219375699539859,0.4776595744680851,0.5737037037037037,0.40791765637371336,0.5226984126984127,0.6313853904282116,0.3358558696988322
0.15000000000000002,Cars,DTD,EuroSAT,GTSRB,SVHN,0.6536500435269245,0.5026595744680851,0.6911111111111111,0.4946159936658749,0.5265079365079365,0.6321410579345088,0.551321450522434
0.2,Cars,DTD,EuroSAT,GTSRB,SVHN,0.6772789454048004,0.5319148936170213,0.7614814814814815,0.5846397466349961,0.5212698412698412,0.6307304785894207,0.7066303011677935
0.25,Cars,DTD,EuroSAT,GTSRB,SVHN,0.7010322099241388,0.5468085106382978,0.8137037037037037,0.6736342042755344,0.5025396825396825,0.623022670025189,0.8002074370006146
0.30000000000000004,Cars,DTD,EuroSAT,GTSRB,SVHN,0.7154582763337893,0.5606382978723404,0.8337037037037037,0.7491686460807601,0.4865079365079365,0.6096725440806046,0.8663952059004303
0.35000000000000003,Cars,DTD,EuroSAT,GTSRB,SVHN,0.7201840567093645,0.5643617021276596,0.835925925925926,0.8060174188440221,0.4552380952380952,0.5938539042821158,0.9009296250768285
0.4,Cars,DTD,EuroSAT,GTSRB,SVHN,0.719810968784977,0.55,0.8248148148148148,0.8429136975455265,0.4246031746031746,0.5717380352644836,0.9203288260602336
0.45,Cars,DTD,EuroSAT,GTSRB,SVHN,0.7114786718069892,0.5324468085106383,0.8055555555555556,0.866270783847981,0.3953968253968254,0.5411586901763225,0.9303549477566072
0.5,Cars,DTD,EuroSAT,GTSRB,SVHN,0.6976744186046512,0.5037234042553191,0.7751851851851852,0.8794932699920823,0.3626984126984127,0.5034256926952141,0.9345805162876459
0.55,Cars,DTD,EuroSAT,GTSRB,SVHN,0.6700659121999751,0.4787234042553192,0.7388888888888889,0.8872525732383214,0.32857142857142857,0.4555667506297229,0.9365012292563
0.6000000000000001,Cars,DTD,EuroSAT,GTSRB,SVHN,0.6371098122124114,0.45053191489361705,0.692962962962963,0.8845605700712589,0.29873015873015873,0.40307304785894205,0.9343116164720344
0.65,Cars,DTD,EuroSAT,GTSRB,SVHN,0.5968163163785599,0.40691489361702127,0.6448148148148148,0.872763262074426,0.2673015873015873,0.34453400503778336,0.9300092194222496
0.7000000000000001,Cars,DTD,EuroSAT,GTSRB,SVHN,0.5362517099863201,0.37659574468085105,0.6018518518518519,0.8558986539984165,0.22857142857142856,0.2846851385390428,0.9227489244007375
0.75,Cars,DTD,EuroSAT,GTSRB,SVHN,0.46524064171123,0.35106382978723405,0.5585185185185185,0.831353919239905,0.19777777777777777,0.23209068010075568,0.9121465888137676
0.8,Cars,DTD,EuroSAT,GTSRB,SVHN,0.3788086058947892,0.31648936170212766,0.52,0.8024544734758512,0.17253968253968255,0.1834256926952141,0.8990473263675476
0.8500000000000001,Cars,DTD,EuroSAT,GTSRB,SVHN,0.29772416366123616,0.29095744680851066,0.4848148148148148,0.7661124307205067,0.14952380952380953,0.14397984886649873,0.8816456668715427
0.9,Cars,DTD,EuroSAT,GTSRB,SVHN,0.2162666335032956,0.2579787234042553,0.4451851851851852,0.7191607284243864,0.1268253968253968,0.11219143576826196,0.8592117393976644
0.9500000000000001,Cars,DTD,EuroSAT,GTSRB,SVHN,0.15408531277204326,0.2377659574468085,0.41,0.6703879651623119,0.10587301587301587,0.08659949622166246,0.8335510141364475
1.0,Cars,DTD,EuroSAT,GTSRB,SVHN,0.10297226713095387,0.21117021276595746,0.38222222222222224,0.6253365003958828,0.0919047619047619,0.06589420654911839,0.8040872771972957
0.0,Cars,DTD,EuroSAT,RESISC45,SUN397,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.05,Cars,DTD,EuroSAT,RESISC45,SUN397,0.5882352941176471,0.4478723404255319,0.41444444444444445,0.2857482185273159,0.5566666666666666,0.6431738035264484,0.10414105716041795
0.1,Cars,DTD,EuroSAT,RESISC45,SUN397,0.625170998632011,0.47925531914893615,0.6,0.29263657957244654,0.6422222222222222,0.6658438287153653,0.12231100184388445
0.15000000000000002,Cars,DTD,EuroSAT,RESISC45,SUN397,0.6631016042780749,0.5037234042553191,0.7522222222222222,0.2955661124307205,0.6961904761904761,0.6823173803526449,0.13802243392747388
0.2,Cars,DTD,EuroSAT,RESISC45,SUN397,0.6829996269120756,0.526595744680851,0.8648148148148148,0.29802058590657166,0.7457142857142857,0.6927959697732997,0.1470497848801475
0.25,Cars,DTD,EuroSAT,RESISC45,SUN397,0.6994154955851263,0.5388297872340425,0.9174074074074074,0.2996832937450515,0.7901587301587302,0.6964735516372796,0.154079594345421
0.30000000000000004,Cars,DTD,EuroSAT,RESISC45,SUN397,0.7089914189777391,0.5542553191489362,0.9322222222222222,0.3042755344418052,0.8161904761904762,0.7011586901763224,0.15730639213275968
0.35000000000000003,Cars,DTD,EuroSAT,RESISC45,SUN397,0.7157070016167143,0.5617021276595745,0.9466666666666667,0.3049881235154394,0.8296825396825397,0.6970780856423174,0.15454056545789796
0.4,Cars,DTD,EuroSAT,RESISC45,SUN397,0.7224225842556896,0.5622340425531915,0.9488888888888889,0.29912905779889154,0.8341269841269842,0.689471032745592,0.14847111247695144
0.45,Cars,DTD,EuroSAT,RESISC45,SUN397,0.7206815072752145,0.5643617021276596,0.9455555555555556,0.29049881235154396,0.8325396825396826,0.6782367758186398,0.14005838967424708
0.5,Cars,DTD,EuroSAT,RESISC45,SUN397,0.7083696057704265,0.5569148936170213,0.942962962962963,0.27600950118764844,0.8236507936507936,0.6584886649874055,0.1289182544560541
0.55,Cars,DTD,EuroSAT,RESISC45,SUN397,0.6966795174729511,0.5436170212765957,0.9322222222222222,0.2557403008709422,0.8107936507936508,0.630176322418136,0.11843116164720344
0.6000000000000001,Cars,DTD,EuroSAT,RESISC45,SUN397,0.6653401318244,0.5207446808510638,0.9155555555555556,0.23919239904988124,0.7965079365079365,0.5891183879093199,0.10809772587584511
0.65,Cars,DTD,EuroSAT,RESISC45,SUN397,0.6297724163661236,0.48936170212765956,0.8974074074074074,0.22074425969912906,0.7723809523809524,0.5374307304785895,0.09814843269821757
0.7000000000000001,Cars,DTD,EuroSAT,RESISC45,SUN397,0.5820171620445218,0.46117021276595743,0.8674074074074074,0.20055423594615993,0.7473015873015874,0.4722418136020151,0.09127228027043639
