scaling_factor,dataset:0,dataset:1,dataset:2,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN
0.4,Cars,DTD,RESISC45,0.7492849148115907,0.6356382978723404,0.5133333333333333,0.2712589073634204,0.9149206349206348,0.6140554156171285,0.1332206515058389
0.45,Cars,DTD,RESISC45,0.759233926128591,0.6553191489361702,0.5203703703703704,0.271021377672209,0.926984126984127,0.6043828715365239,0.1354486785494775
0.5,Cars,DTD,RESISC45,0.7675662231065787,0.6659574468085107,0.5185185185185185,0.2695961995249406,0.9349206349206348,0.5908816120906801,0.1374846342962507
0.55,Cars,DTD,RESISC45,0.7726650914065415,0.675,0.5162962962962963,0.2691211401425178,0.9371428571428572,0.5767758186397985,0.1372541487400123
0.6000000000000001,Cars,DTD,RESISC45,0.7768934212162666,0.6819148936170213,0.5044444444444445,0.2703879651623119,0.9387301587301587,0.5618136020151133,0.136178549477566
0.65,Cars,DTD,RESISC45,0.7773908717821166,0.6840425531914893,0.4885185185185185,0.2684085510688836,0.938095238095238,0.54272040302267,0.1330669944683466
0.7000000000000001,Cars,DTD,RESISC45,0.7739087178211665,0.6835106382978723,0.4725925925925926,0.2614410134600158,0.9384126984126984,0.5194962216624686,0.1264213275968039
0.75,Cars,DTD,RESISC45,0.7637109812212411,0.676063829787234,0.4511111111111111,0.2557403008709422,0.9368253968253968,0.4920906801007557,0.1178933620159803
0.8,Cars,DTD,RESISC45,0.7528914314140033,0.6622340425531915,0.4296296296296296,0.2486144101346001,0.9363492063492064,0.463073047858942,0.1097879532882606
0.8500000000000001,Cars,DTD,RESISC45,0.73485884840194,0.6537234042553192,0.4040740740740741,0.2390340459224069,0.932063492063492,0.4318387909319899,0.1021819299323909
0.9,Cars,DTD,RESISC45,0.7130953861460018,0.6335106382978724,0.3722222222222222,0.2257323832145684,0.9263492063492064,0.3949622166246851,0.0968039336201598
0.95,Cars,DTD,RESISC45,0.6838701654023132,0.6170212765957447,0.3381481481481481,0.2158353127474267,0.9215873015873016,0.356624685138539,0.0906576521204671
1.0,Cars,DTD,RESISC45,0.6446959333416242,0.5962765957446808,0.304074074074074,0.2029295328582739,0.9130158730158732,0.3174811083123425,0.085279655808236
0.0,Cars,DTD,SUN397,0.5365004352692451,0.400531914893617,0.2185185185185185,0.2635787806809184,0.4479365079365079,0.6108816120906801,0.0890826674861708
0.05,Cars,DTD,SUN397,0.5797786344981968,0.4409574468085106,0.2474074074074074,0.2735550277117973,0.4779365079365079,0.6361712846347607,0.0928472649047326
