scaling_factor,k,dataset:0,dataset:1,dataset:2,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN
0.25,0.75,Cars,DTD,EuroSAT,0.6287775152344236,0.4984042553191489,0.6014814814814815,0.2931908155186065,0.5165079365079365,0.6279596977329975,0.1180086047940995
0.5,0.75,Cars,DTD,EuroSAT,0.6977987812461137,0.576063829787234,0.8881481481481481,0.2931908155186065,0.515079365079365,0.6276574307304786,0.1389827904118008
0.75,0.75,Cars,DTD,EuroSAT,0.7475438378311156,0.6388297872340426,0.965925925925926,0.2931908155186065,0.4726984126984127,0.6163224181360202,0.1495851259987707
1.0,0.75,Cars,DTD,EuroSAT,0.774530531028479,0.675531914893617,0.9803703703703704,0.2956452889944576,0.4136507936507936,0.5877581863979849,0.1612246465888137
0.0,1.0,Cars,DTD,EuroSAT,0.5365004352692451,0.400531914893617,0.2185185185185185,0.2635787806809184,0.4479365079365079,0.6108816120906801,0.0890826674861708
0.25,1.0,Cars,DTD,EuroSAT,0.6178336027857232,0.4877659574468085,0.5622222222222222,0.2929532858273951,0.5136507936507937,0.6266498740554156,0.1147818070067609
0.5,1.0,Cars,DTD,EuroSAT,0.6826265389876881,0.5606382978723404,0.835925925925926,0.2944576405384006,0.5195238095238095,0.6294710327455919,0.1374462200368776
0.75,1.0,Cars,DTD,EuroSAT,0.7315010570824524,0.6122340425531915,0.9481481481481482,0.2938242280285035,0.4919047619047619,0.6228211586901763,0.1478948985863552
1.0,1.0,Cars,DTD,EuroSAT,0.7644571570700162,0.6728723404255319,0.9755555555555556,0.2969121140142517,0.4507936507936508,0.604080604534005,0.157959434542102
0.0,0.25,Cars,DTD,GTSRB,0.5365004352692451,0.400531914893617,0.2185185185185185,0.2635787806809184,0.4479365079365079,0.6108816120906801,0.0890826674861708
0.25,0.25,Cars,DTD,GTSRB,0.6247979107076235,0.4909574468085106,0.2888888888888888,0.3967537608867775,0.489047619047619,0.6220654911838791,0.1262676705593116
0.5,0.25,Cars,DTD,GTSRB,0.6961820669071012,0.5813829787234043,0.3277777777777778,0.5991290577988915,0.5007936507936508,0.6224181360201512,0.1959511370620774
0.75,0.25,Cars,DTD,GTSRB,0.758487750279816,0.6680851063829787,0.3414814814814815,0.8022961203483768,0.4852380952380952,0.6156675062972292,0.2977105101413644
1.0,0.25,Cars,DTD,GTSRB,0.7908220370600672,0.7324468085106383,0.3303703703703703,0.9144893111638956,0.4568253968253968,0.5845340050377834,0.4071527350952673
0.0,0.5,Cars,DTD,GTSRB,0.5365004352692451,0.400531914893617,0.2185185185185185,0.2635787806809184,0.4479365079365079,0.6108816120906801,0.0890826674861708
0.25,0.5,Cars,DTD,GTSRB,0.6346225593831613,0.5042553191489362,0.3,0.4126682501979414,0.4955555555555556,0.6237783375314861,0.1366779348494161
0.5,0.5,Cars,DTD,GTSRB,0.7171993533142644,0.6095744680851064,0.3340740740740741,0.6475059382422803,0.4944444444444444,0.6226700251889169,0.2272203441917639
0.75,0.5,Cars,DTD,GTSRB,0.7719189155577665,0.6882978723404255,0.3292592592592592,0.8418052256532067,0.4752380952380952,0.6056423173803527,0.3602873386601106
1.0,0.5,Cars,DTD,GTSRB,0.7946772789454049,0.725531914893617,0.2677777777777778,0.9364212193190816,0.4169841269841269,0.553551637279597,0.4393438844499078
