scaling_factor,k,dataset:0,dataset:1,dataset:2,dataset:3,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN
0.5,1.0,Cars,DTD,EuroSAT,GTSRB,0.6664593955975625,0.5361702127659574,0.7951851851851852,0.488202692003167,0.5212698412698412,0.6296221662468514,0.1984096496619545
0.75,1.0,Cars,DTD,EuroSAT,GTSRB,0.7139659246362393,0.5835106382978723,0.9266666666666666,0.6192399049881235,0.503015873015873,0.6245843828715365,0.2496926859250153
1.0,1.0,Cars,DTD,EuroSAT,GTSRB,0.7441860465116279,0.6207446808510638,0.9622222222222222,0.7382422802850356,0.4641269841269841,0.6097229219143577,0.3069299323909035
0.0,0.25,Cars,DTD,EuroSAT,RESISC45,0.5365004352692451,0.400531914893617,0.2185185185185185,0.2635787806809184,0.4479365079365079,0.6108816120906801,0.0890826674861708
0.25,0.25,Cars,DTD,EuroSAT,RESISC45,0.6182066907101107,0.4851063829787234,0.5785185185185185,0.28756927949327,0.6471428571428571,0.6311335012594459,0.1156269207129686
0.5,0.25,Cars,DTD,EuroSAT,RESISC45,0.6770302201218754,0.5473404255319149,0.8603703703703703,0.2885985748218527,0.786984126984127,0.6297229219143576,0.1415949600491702
0.75,0.25,Cars,DTD,EuroSAT,RESISC45,0.7078721552045766,0.5898936170212766,0.954074074074074,0.2912114014251781,0.8757142857142857,0.6150125944584383,0.1554240934234788
1.0,0.25,Cars,DTD,EuroSAT,RESISC45,0.7285163536873523,0.6138297872340426,0.9685185185185186,0.2936658749010293,0.8928571428571429,0.5879596977329975,0.1601106330669944
0.0,0.5,Cars,DTD,EuroSAT,RESISC45,0.5365004352692451,0.400531914893617,0.2185185185185185,0.2635787806809184,0.4479365079365079,0.6108816120906801,0.0890826674861708
0.25,0.5,Cars,DTD,EuroSAT,RESISC45,0.6243004601417734,0.4851063829787234,0.6122222222222222,0.2867775138558986,0.6660317460317461,0.6314357682619647,0.1200829748002458
0.5,0.5,Cars,DTD,EuroSAT,RESISC45,0.680636736724288,0.5398936170212766,0.8907407407407407,0.282264449722882,0.8106349206349206,0.626448362720403,0.140019975414874
0.75,0.5,Cars,DTD,EuroSAT,RESISC45,0.7081208804875015,0.576063829787234,0.9548148148148148,0.2845605700712589,0.8831746031746032,0.6064987405541562,0.1469729563614013
1.0,0.5,Cars,DTD,EuroSAT,RESISC45,0.7140902872777017,0.5898936170212766,0.9662962962962964,0.2775930324623911,0.8901587301587301,0.5697229219143577,0.1441687154271665
0.0,0.75,Cars,DTD,EuroSAT,RESISC45,0.5365004352692451,0.400531914893617,0.2185185185185185,0.2635787806809184,0.4479365079365079,0.6108816120906801,0.0890826674861708
0.25,0.75,Cars,DTD,EuroSAT,RESISC45,0.6173361522198731,0.475531914893617,0.5833333333333334,0.2867775138558986,0.6487301587301587,0.6315869017632242,0.1180854333128457
0.5,0.75,Cars,DTD,EuroSAT,RESISC45,0.6729262529536127,0.5276595744680851,0.8596296296296296,0.282264449722882,0.7852380952380953,0.6290680100755668,0.1358328211432083
0.75,0.75,Cars,DTD,EuroSAT,RESISC45,0.7012809352070638,0.5638297872340425,0.9455555555555556,0.2806017418844022,0.8709523809523809,0.6123929471032745,0.1414028887523048
1.0,0.75,Cars,DTD,EuroSAT,RESISC45,0.7082452431289641,0.5835106382978723,0.9607407407407408,0.2760095011876484,0.8926984126984127,0.5861964735516373,0.1407882606023356
0.0,1.0,Cars,DTD,EuroSAT,RESISC45,0.5365004352692451,0.400531914893617,0.2185185185185185,0.2635787806809184,0.4479365079365079,0.6108816120906801,0.0890826674861708
0.25,1.0,Cars,DTD,EuroSAT,RESISC45,0.6073871409028728,0.4696808510638298,0.5507407407407408,0.2864608076009501,0.6257142857142857,0.6303274559193954,0.1141287645974185
0.5,1.0,Cars,DTD,EuroSAT,RESISC45,0.6627285163536873,0.5170212765957447,0.807037037037037,0.2866191607284243,0.7511111111111111,0.6318387909319899,0.1342578365089121
0.75,1.0,Cars,DTD,EuroSAT,RESISC45,0.693446088794926,0.5537234042553192,0.9307407407407408,0.2842438638163104,0.8468253968253968,0.6224181360201512,0.1430931161647203
1.0,1.0,Cars,DTD,EuroSAT,RESISC45,0.7098619574679766,0.574468085106383,0.9574074074074074,0.2847980997624703,0.8866666666666667,0.6048362720403022,0.1468577135832821
0.0,0.25,Cars,DTD,EuroSAT,SUN397,0.5365004352692451,0.400531914893617,0.2185185185185185,0.2635787806809184,0.4479365079365079,0.6108816120906801,0.0890826674861708
