scaling_factor,k,dataset:0,dataset:1,dataset:2,dataset:3,dataset:4,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN
0.5,1.0,Cars,DTD,EuroSAT,GTSRB,RESISC45,0.6540231314513121,0.5053191489361702,0.7796296296296297,0.4357878068091845,0.7201587301587301,0.6316372795969774,0.1812768899815611
0.75,1.0,Cars,DTD,EuroSAT,GTSRB,RESISC45,0.6861086929486382,0.5303191489361702,0.9166666666666666,0.5374505146476642,0.8133333333333334,0.62544080604534,0.2198063921327596
1.0,1.0,Cars,DTD,EuroSAT,GTSRB,RESISC45,0.7030220121875389,0.5563829787234043,0.95,0.6216943784639747,0.8601587301587301,0.6102770780856424,0.2579133374308543
0.0,0.25,Cars,DTD,EuroSAT,GTSRB,SUN397,0.5365004352692451,0.400531914893617,0.2185185185185185,0.2635787806809184,0.4479365079365079,0.6108816120906801,0.0890826674861708
0.25,0.25,Cars,DTD,EuroSAT,GTSRB,SUN397,0.6142270861833106,0.4840425531914893,0.5407407407407407,0.370387965162312,0.5233333333333333,0.6695214105793451,0.1399431468961278
0.5,0.25,Cars,DTD,EuroSAT,GTSRB,SUN397,0.6720557144633752,0.5430851063829787,0.8011111111111111,0.4957244655581947,0.533015873015873,0.7072040302267002,0.2152350952673632
0.75,0.25,Cars,DTD,EuroSAT,GTSRB,SUN397,0.7123492102972268,0.5792553191489361,0.9285185185185184,0.6636579572446556,0.5041269841269841,0.7274559193954659,0.291180086047941
1.0,0.25,Cars,DTD,EuroSAT,GTSRB,SUN397,0.7227956721800771,0.6021276595744681,0.9607407407407408,0.7870942201108472,0.4538095238095238,0.7302770780856424,0.3490703749231715
0.0,0.5,Cars,DTD,EuroSAT,GTSRB,SUN397,0.5365004352692451,0.400531914893617,0.2185185185185185,0.2635787806809184,0.4479365079365079,0.6108816120906801,0.0890826674861708
0.25,0.5,Cars,DTD,EuroSAT,GTSRB,SUN397,0.6213157567466733,0.4803191489361702,0.5725925925925925,0.3732383214568487,0.5279365079365079,0.6708312342569269,0.1450138291333743
0.5,0.5,Cars,DTD,EuroSAT,GTSRB,SUN397,0.6821290884218381,0.5367021276595745,0.8322222222222222,0.4960411718131433,0.5334920634920635,0.7058942065491184,0.2178856791641057
0.75,0.5,Cars,DTD,EuroSAT,GTSRB,SUN397,0.7159557268996394,0.5728723404255319,0.9348148148148148,0.651464766429137,0.5036507936507937,0.7207052896725441,0.2908343577135833
1.0,0.5,Cars,DTD,EuroSAT,GTSRB,SUN397,0.7257803755751772,0.5909574468085106,0.9596296296296296,0.770387965162312,0.4488888888888889,0.7191939546599496,0.3405424093423478
0.0,0.75,Cars,DTD,EuroSAT,GTSRB,SUN397,0.5365004352692451,0.400531914893617,0.2185185185185185,0.2635787806809184,0.4479365079365079,0.6108816120906801,0.0890826674861708
0.25,0.75,Cars,DTD,EuroSAT,GTSRB,SUN397,0.615595075239398,0.475531914893617,0.5462962962962963,0.3641330166270783,0.525079365079365,0.6646347607052897,0.1393669330055316
