scaling_factor,dataset:0,dataset:1,dataset:2,dataset:3,dataset:4,dataset:5,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN
0.7000000000000001,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.3942295734361398,0.3489361702127659,0.6985185185185185,0.6776722090261282,0.653015873015873,0.3029722921914358,0.1688306699446834
0.75,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.2933714712100485,0.3138297872340425,0.6122222222222222,0.6320665083135392,0.6061904761904762,0.2321410579345088,0.1435156730178242
0.8,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.1999751274717075,0.2845744680851064,0.5188888888888888,0.5789390340459224,0.5552380952380952,0.1671032745591939,0.1231177012907191
0.8500000000000001,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.1208804875015545,0.2585106382978723,0.4192592592592593,0.5167062549485353,0.5022222222222222,0.1198488664987405,0.1123617086662569
0.9,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.0683994528043775,0.2329787234042553,0.3355555555555555,0.4490894695170229,0.4482539682539682,0.0863979848866498,0.102258758451137
0.95,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.0376818803631389,0.2132978723404255,0.2625925925925926,0.3811559778305621,0.3866666666666666,0.060705289672544,0.0968807621389059
1.0,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,0.0223852754632508,0.1893617021276595,0.2181481481481481,0.313064133016627,0.3250793650793651,0.0428715365239294,0.0951137062077443
0.0,Cars,DTD,EuroSAT,GTSRB,RESISC45,SVHN,0.5365004352692451,0.400531914893617,0.2185185185185185,0.2635787806809184,0.4479365079365079,0.6108816120906801,0.0890826674861708
0.05,Cars,DTD,EuroSAT,GTSRB,RESISC45,SVHN,0.5888571073249595,0.4446808510638297,0.4214814814814814,0.3391132224861441,0.5587301587301587,0.6281612090680101,0.1781269207129686
0.1,Cars,DTD,EuroSAT,GTSRB,RESISC45,SVHN,0.628155702027111,0.4739361702127659,0.6203703703703703,0.4055423594615994,0.6341269841269841,0.6355163727959697,0.3423862937922556
0.15,Cars,DTD,EuroSAT,GTSRB,RESISC45,SVHN,0.6571321974878747,0.4952127659574468,0.7525925925925926,0.4897070467141726,0.683968253968254,0.6345088161209068,0.5502074370006146
0.2,Cars,DTD,EuroSAT,GTSRB,RESISC45,SVHN,0.679393110309663,0.5154255319148936,0.8425925925925926,0.5728424386381631,0.7271428571428571,0.6280604534005038,0.6900353411186232
0.25,Cars,DTD,EuroSAT,GTSRB,RESISC45,SVHN,0.692699912946151,0.5234042553191489,0.8822222222222222,0.6543151227236738,0.765079365079365,0.6174307304785894,0.7752381684081131
0.3,Cars,DTD,EuroSAT,GTSRB,RESISC45,SVHN,0.694192264643701,0.5292553191489362,0.8881481481481481,0.7174188440221695,0.7825396825396825,0.6038287153652393,0.8352028272894899
0.35,Cars,DTD,EuroSAT,GTSRB,RESISC45,SVHN,0.6922024623803009,0.5111702127659574,0.8844444444444445,0.7580364212193191,0.7849206349206349,0.5792947103274559,0.8662415488629379
0.4,Cars,DTD,EuroSAT,GTSRB,RESISC45,SVHN,0.6834970774779257,0.4984042553191489,0.8666666666666667,0.7806809184481394,0.7714285714285715,0.5456423173803526,0.8842962507682852
0.45,Cars,DTD,EuroSAT,GTSRB,RESISC45,SVHN,0.6585001865439621,0.4781914893617021,0.8448148148148148,0.7880443388756928,0.7514285714285714,0.5027707808564231,0.8874078057775046
0.5,Cars,DTD,EuroSAT,GTSRB,RESISC45,SVHN,0.6225593831612983,0.4468085106382978,0.802962962962963,0.7854315122723674,0.7320634920634921,0.4487657430730478,0.8850261216963737
0.55,Cars,DTD,EuroSAT,GTSRB,RESISC45,SVHN,0.5723168760104465,0.4138297872340425,0.7577777777777778,0.7722882026920032,0.7066666666666667,0.3890176322418136,0.8758066994468346
0.6000000000000001,Cars,DTD,EuroSAT,GTSRB,RESISC45,SVHN,0.5065290386767815,0.3819148936170213,0.6925925925925925,0.7465558194774347,0.6668253968253969,0.3278589420654912,0.8596342962507683
0.65,Cars,DTD,EuroSAT,GTSRB,RESISC45,SVHN,0.4310409153090411,0.3425531914893617,0.6081481481481481,0.7119556611243072,0.6261904761904762,0.2642821158690176,0.8363168408113092
0.7000000000000001,Cars,DTD,EuroSAT,GTSRB,RESISC45,SVHN,0.3414998134560378,0.3095744680851063,0.5277777777777778,0.6720506730007918,0.5747619047619048,0.2090176322418136,0.8068146896127842
0.75,Cars,DTD,EuroSAT,GTSRB,RESISC45,SVHN,0.2532023380176595,0.275,0.4666666666666667,0.6266825019794141,0.5157142857142857,0.1614105793450881,0.7699370006146281
0.8,Cars,DTD,EuroSAT,GTSRB,RESISC45,SVHN,0.1823156323840318,0.2452127659574468,0.3966666666666666,0.5764053840063341,0.4565079365079365,0.123073047858942,0.7287185003073141
0.8500000000000001,Cars,DTD,EuroSAT,GTSRB,RESISC45,SVHN,0.1206317622186295,0.2234042553191489,0.33,0.5215360253365003,0.3992063492063492,0.0948110831234256,0.6847725875845113
0.9,Cars,DTD,EuroSAT,GTSRB,RESISC45,SVHN,0.0757368486506653,0.201063829787234,0.2803703703703704,0.4596199524940617,0.3373015873015873,0.0719395465994962,0.6369084204056545
