scaling_factor,k,dataset:0,dataset:1,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN
0.0,0.25,Cars,EuroSAT,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.25,0.25,Cars,EuroSAT,0.5367491605521701,0.39893617021276595,0.21814814814814815,0.26476642913697546,0.44761904761904764,0.6109319899244332,0.08923632452366319
0.5,0.25,Cars,EuroSAT,0.5372466111180202,0.399468085106383,0.21703703703703703,0.26516231195566115,0.44682539682539685,0.6110327455919395,0.0893899815611555
0.75,0.25,Cars,EuroSAT,0.5373709737594826,0.4,0.21666666666666667,0.26524148851939827,0.44666666666666666,0.6109319899244332,0.08946681007990166
1.0,0.25,Cars,EuroSAT,0.5371222484765577,0.4,0.21666666666666667,0.2656373713380839,0.44682539682539685,0.610831234256927,0.08965888137676706
0.0,0.5,Cars,EuroSAT,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.25,0.5,Cars,EuroSAT,0.535008083571695,0.39787234042553193,0.21444444444444444,0.2656373713380839,0.4471428571428571,0.6088664987405542,0.08969729563614014
0.5,0.5,Cars,EuroSAT,0.5333913692326825,0.399468085106383,0.21074074074074073,0.2676959619952494,0.44841269841269843,0.6076574307304786,0.09035033804548248
0.75,0.5,Cars,EuroSAT,0.53326700659122,0.39787234042553193,0.20814814814814814,0.2690419635787807,0.4473015873015873,0.6059445843828716,0.09069606637984019
1.0,0.5,Cars,EuroSAT,0.534510633005845,0.39680851063829786,0.2051851851851852,0.269833729216152,0.4465079365079365,0.6052392947103274,0.09111862323294406
0.0,0.75,Cars,EuroSAT,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
