scaling_factor,dataset:0,dataset:1,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN
0.05,Cars,EuroSAT,0.5406044024375077,0.401063829787234,0.2296296296296296,0.2653998416468725,0.4495238095238095,0.611183879093199,0.0890442532267977
0.1,Cars,EuroSAT,0.547071259793558,0.4026595744680851,0.2466666666666666,0.2678543151227237,0.4534920634920635,0.6126952141057934,0.0892747387830362
0.15,Cars,EuroSAT,0.5532893918666832,0.4026595744680851,0.2677777777777778,0.2707838479809976,0.4577777777777778,0.6136020151133501,0.0890442532267977
0.2,Cars,EuroSAT,0.5596318865812709,0.4037234042553191,0.2944444444444444,0.2745051464766429,0.462063492063492,0.614911838790932,0.0892363245236631
0.25,Cars,EuroSAT,0.5668449197860963,0.4053191489361702,0.3548148148148148,0.2777513855898654,0.4688888888888889,0.6165743073047859,0.0894283958205285
0.3,Cars,EuroSAT,0.5786593707250342,0.4069148936170212,0.4125925925925925,0.2804433887569279,0.4738095238095238,0.6186901763224182,0.0900046097111247
0.35,Cars,EuroSAT,0.5898520084566596,0.4090425531914893,0.4629629629629629,0.2848772763262074,0.4803174603174603,0.6207556675062972,0.0903119237861094
0.4,Cars,EuroSAT,0.59930356920781,0.4127659574468085,0.5062962962962962,0.2890736342042755,0.4865079365079365,0.6238287153652393,0.0909649661954517
0.45,Cars,EuroSAT,0.6101231190150479,0.4138297872340425,0.5466666666666666,0.2912905779889153,0.4904761904761904,0.6255919395465995,0.0915411800860479
0.5,Cars,EuroSAT,0.6204452182564357,0.4175531914893617,0.5892592592592593,0.292874109263658,0.4952380952380952,0.6269521410579345,0.0917716656422864
0.55,Cars,EuroSAT,0.6327571197612237,0.4175531914893617,0.6344444444444445,0.2949326999208234,0.4984126984126984,0.6286649874055416,0.0923862937922556
0.6000000000000001,Cars,EuroSAT,0.6417112299465241,0.4170212765957446,0.6814814814814815,0.2945368171021377,0.5006349206349207,0.6292191435768262,0.0930009219422249
0.65,Cars,EuroSAT,0.650789702773287,0.4191489361702127,0.7229629629629629,0.2936658749010293,0.4982539682539682,0.6296221662468514,0.0928856791641057
0.7000000000000001,Cars,EuroSAT,0.6593707250341997,0.4143617021276595,0.7518518518518519,0.2902612826603325,0.4976190476190476,0.630831234256927,0.0917332513829133
