scaling_factor,dataset:0,dataset:1,dataset:2,dataset:3,dataset:4,dataset:5,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN
0.4,Cars,DTD,EuroSAT,GTSRB,RESISC45,SVHN,0.6083820420345728,0.46382978723404256,0.5111111111111111,0.3798099762470309,0.6014285714285714,0.6263979848866499,0.41018746158574065
0.45,Cars,DTD,EuroSAT,GTSRB,RESISC45,SVHN,0.612112921278448,0.4643617021276596,0.5214814814814814,0.3870942201108472,0.6120634920634921,0.625088161209068,0.476259987707437
0.5,Cars,DTD,EuroSAT,GTSRB,RESISC45,SVHN,0.6153463499564731,0.4664893617021277,0.5344444444444445,0.39469517022961204,0.6149206349206349,0.623022670025189,0.5304240934234788
0.55,Cars,DTD,EuroSAT,GTSRB,RESISC45,SVHN,0.6184554159930357,0.46382978723404256,0.5496296296296296,0.4013460015835313,0.6201587301587301,0.62,0.5676090964966195
0.6000000000000001,Cars,DTD,EuroSAT,GTSRB,RESISC45,SVHN,0.6216888446710608,0.46117021276595743,0.5548148148148148,0.40609659540775933,0.6195238095238095,0.6167758186397985,0.5958051628764598
0.65,Cars,DTD,EuroSAT,GTSRB,RESISC45,SVHN,0.6238030095759234,0.46117021276595743,0.5559259259259259,0.41108471892319876,0.6209523809523809,0.613249370277078,0.6181622618315918
0.7000000000000001,Cars,DTD,EuroSAT,GTSRB,RESISC45,SVHN,0.6228081084442234,0.45691489361702126,0.547037037037037,0.4142517814726841,0.6173015873015874,0.6102267002518892,0.6332974800245851
0.75,Cars,DTD,EuroSAT,GTSRB,RESISC45,SVHN,0.6243004601417734,0.4521276595744681,0.5077777777777778,0.4167854315122724,0.6176190476190476,0.6048362720403022,0.643400430239705
0.8,Cars,DTD,EuroSAT,GTSRB,RESISC45,SVHN,0.6228081084442234,0.44893617021276594,0.49444444444444446,0.4175771971496437,0.6134920634920635,0.5998992443324938,0.6512753534111863
0.8500000000000001,Cars,DTD,EuroSAT,GTSRB,RESISC45,SVHN,0.6230568337271484,0.44840425531914896,0.4888888888888889,0.4173396674584323,0.6115873015873016,0.5945088161209068,0.6576137062077443
0.9,Cars,DTD,EuroSAT,GTSRB,RESISC45,SVHN,0.6230568337271484,0.44042553191489364,0.4837037037037037,0.41749802058590657,0.6065079365079366,0.5877078085642318,0.6628380454824832
0.9500000000000001,Cars,DTD,EuroSAT,GTSRB,RESISC45,SVHN,0.6219375699539859,0.43563829787234043,0.4811111111111111,0.41718131433095806,0.6022222222222222,0.5821158690176322,0.6661032575291949
1.0,Cars,DTD,EuroSAT,GTSRB,RESISC45,SVHN,0.6187041412759607,0.43138297872340425,0.47814814814814816,0.41813143309580364,0.5976190476190476,0.5744080604534005,0.6693684695759066
0.0,Cars,DTD,EuroSAT,GTSRB,SUN397,SVHN,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.05,Cars,DTD,EuroSAT,GTSRB,SUN397,SVHN,0.5521701280935207,0.41117021276595744,0.25074074074074076,0.28701504354711005,0.4641269841269841,0.6178337531486147,0.10271972956361401
0.1,Cars,DTD,EuroSAT,GTSRB,SUN397,SVHN,0.5633627658251461,0.4223404255319149,0.28444444444444444,0.3061757719714964,0.47888888888888886,0.6241309823677582,0.12135064535955747
