scaling_factor,dataset:0,dataset:1,dataset:2,dataset:3,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN
0.0,Cars,DTD,EuroSAT,SUN397,0.5365004352692451,0.400531914893617,0.2185185185185185,0.2635787806809184,0.4479365079365079,0.6108816120906801,0.0890826674861708
0.05,Cars,DTD,EuroSAT,SUN397,0.5848775027981594,0.4446808510638297,0.3688888888888889,0.2860649247822645,0.4971428571428571,0.6388413098236776,0.10129840196681
0.1,Cars,DTD,EuroSAT,SUN397,0.6215644820295984,0.4819148936170213,0.5525925925925926,0.2952494061757719,0.5261904761904762,0.6621158690176322,0.1149738783036263
0.15,Cars,DTD,EuroSAT,SUN397,0.6591219997512747,0.5154255319148936,0.6755555555555556,0.3005542359461599,0.5403174603174603,0.6802015113350126,0.1308773816840811
0.2,Cars,DTD,EuroSAT,SUN397,0.6866061435144882,0.5457446808510639,0.802962962962963,0.2995249406175772,0.543968253968254,0.6935012594458438,0.1443223724646588
0.25,Cars,DTD,EuroSAT,SUN397,0.7113543091655267,0.5675531914893617,0.89,0.301187648456057,0.5357142857142857,0.702367758186398,0.1546942224953902
0.3,Cars,DTD,EuroSAT,SUN397,0.7311279691580649,0.5877659574468085,0.9314814814814816,0.3045922406967538,0.5206349206349207,0.7092695214105793,0.1653733866011063
0.35,Cars,DTD,EuroSAT,SUN397,0.7453053102847904,0.6079787234042553,0.9448148148148148,0.307125890736342,0.5076190476190476,0.714256926952141,0.1728641671788568
0.4,Cars,DTD,EuroSAT,SUN397,0.7553786842432533,0.6186170212765958,0.9566666666666668,0.3060174188440221,0.4885714285714285,0.7149622166246852,0.1780116779348494
0.45,Cars,DTD,EuroSAT,SUN397,0.7598557393359034,0.6297872340425532,0.9655555555555556,0.3062549485352335,0.4609523809523809,0.7144584382871536,0.1811616472034419
0.5,Cars,DTD,EuroSAT,SUN397,0.7623429921651536,0.6372340425531915,0.9681481481481482,0.3040380047505938,0.4328571428571429,0.7089672544080604,0.1831976029502151
0.55,Cars,DTD,EuroSAT,SUN397,0.7638353438627037,0.6367021276595745,0.9725925925925926,0.3003958828186857,0.4034920634920635,0.7001007556675063,0.1811616472034419
0.6000000000000001,Cars,DTD,EuroSAT,SUN397,0.7562492227334908,0.6292553191489362,0.9751851851851852,0.291132224861441,0.3733333333333333,0.6825692695214106,0.1786263060848187
0.65,Cars,DTD,EuroSAT,SUN397,0.7416987936823778,0.6207446808510638,0.9744444444444444,0.2797307996832937,0.3396825396825397,0.6578841309823678,0.1737861094038107
0.7000000000000001,Cars,DTD,EuroSAT,SUN397,0.7250341997264022,0.6069148936170212,0.9725925925925926,0.2667458432304038,0.3115873015873016,0.6238790931989925,0.1696757836508912
0.75,Cars,DTD,EuroSAT,SUN397,0.6989180450192762,0.5835106382978723,0.9703703703703704,0.2508313539192399,0.2809523809523809,0.5787909319899245,0.1650660725261217
0.8,Cars,DTD,EuroSAT,SUN397,0.6682004725780376,0.5579787234042554,0.9655555555555556,0.2359461599366587,0.2503174603174603,0.5223173803526449,0.1583819913952059
0.8500000000000001,Cars,DTD,EuroSAT,SUN397,0.6183310533515732,0.5308510638297872,0.9592592592592591,0.2196357878068091,0.2268253968253968,0.4510831234256927,0.153580208973571
0.9,Cars,DTD,EuroSAT,SUN397,0.5592587986568834,0.4957446808510638,0.9448148148148148,0.2039588281868566,0.2001587301587301,0.3800503778337532,0.1503534111862323
0.95,Cars,DTD,EuroSAT,SUN397,0.494838950379306,0.4627659574468085,0.9314814814814816,0.1821852731591449,0.1803174603174603,0.305088161209068,0.1478180700676091
1.0,Cars,DTD,EuroSAT,SUN397,0.4101479915433403,0.4287234042553191,0.9107407407407409,0.1647664291369754,0.1593650793650793,0.2356675062972292,0.1440534726490473
0.0,Cars,DTD,EuroSAT,SVHN,0.5365004352692451,0.400531914893617,0.2185185185185185,0.2635787806809184,0.4479365079365079,0.6108816120906801,0.0890826674861708
0.05,Cars,DTD,EuroSAT,SVHN,0.5797786344981968,0.4436170212765957,0.3659259259259259,0.291132224861441,0.4936507936507937,0.621360201511335,0.1462430854333128
0.1,Cars,DTD,EuroSAT,SVHN,0.6190772292003482,0.4819148936170213,0.5592592592592592,0.3002375296912114,0.5211111111111111,0.6299244332493703,0.2517670559311616
0.15,Cars,DTD,EuroSAT,SVHN,0.651535878622062,0.5063829787234042,0.6725925925925926,0.3098178939034046,0.5304761904761904,0.6341561712846348,0.4219806392132759
0.2,Cars,DTD,EuroSAT,SVHN,0.6781494838950379,0.5367021276595745,0.7781481481481481,0.3162311955661124,0.5328571428571428,0.6348614609571789,0.6010295021511985
0.25,Cars,DTD,EuroSAT,SVHN,0.705509265016789,0.5627659574468085,0.857037037037037,0.3245447347585115,0.5252380952380953,0.6324937027707809,0.7178472649047326
0.3,Cars,DTD,EuroSAT,SVHN,0.7260291008581022,0.5835106382978723,0.902962962962963,0.3285827395091053,0.5093650793650794,0.6276574307304786,0.808159188690842
0.35,Cars,DTD,EuroSAT,SVHN,0.7407038925506778,0.6037234042553191,0.9233333333333332,0.3360253365003959,0.4914285714285714,0.6171284634760705,0.8698140749846343
0.4,Cars,DTD,EuroSAT,SVHN,0.7497823653774406,0.6085106382978723,0.9418518518518518,0.3391923990498812,0.4736507936507936,0.6072040302267002,0.905539336201598
0.45,Cars,DTD,EuroSAT,SVHN,0.7535132446213157,0.6122340425531915,0.9488888888888888,0.3406967537608867,0.4573015873015873,0.5921914357682619,0.9248617086662568
0.5,Cars,DTD,EuroSAT,SVHN,0.7535132446213157,0.6074468085106383,0.952962962962963,0.3355502771179731,0.433015873015873,0.574911838790932,0.9372311001843884
