scaling_factor,dataset:0,dataset:1,dataset:2,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN
0.9500000000000001,Cars,GTSRB,SVHN,0.6394727024001989,0.40797872340425534,0.2551851851851852,0.4844813935075218,0.5315873015873016,0.6219647355163728,0.7435079901659496
1.0,Cars,GTSRB,SVHN,0.6381047133441115,0.4047872340425532,0.25555555555555554,0.4882818685669042,0.5342857142857143,0.6205541561712846,0.7488859864781807
0.0,Cars,RESISC45,SUN397,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.05,Cars,RESISC45,SUN397,0.5495585126228081,0.40425531914893614,0.2225925925925926,0.2657957244655582,0.4685714285714286,0.6167758186397985,0.09146435156730179
0.1,Cars,RESISC45,SUN397,0.5587613480910335,0.40904255319148936,0.22740740740740742,0.26634996041171816,0.4874603174603175,0.6216120906801007,0.09311616472034419
0.15000000000000002,Cars,RESISC45,SUN397,0.5693321726153463,0.41702127659574467,0.23,0.26524148851939827,0.5093650793650794,0.6267002518891688,0.09557467732022126
0.2,Cars,RESISC45,SUN397,0.5811466235542843,0.4186170212765957,0.24,0.2657957244655582,0.523968253968254,0.6319899244332494,0.09764904732636755
0.25,Cars,RESISC45,SUN397,0.5902250963810471,0.42127659574468085,0.24703703703703703,0.2664291369754553,0.5434920634920635,0.6344584382871536,0.09999231714812538
0.30000000000000004,Cars,RESISC45,SUN397,0.5978112175102599,0.425531914893617,0.25074074074074076,0.266270783847981,0.5587301587301587,0.6376826196473552,0.10233558696988322
0.35000000000000003,Cars,RESISC45,SUN397,0.6061435144882478,0.42659574468085104,0.25407407407407406,0.26357878068091845,0.57,0.6407556675062972,0.10456361401352182
0.4,Cars,RESISC45,SUN397,0.6138539982589231,0.42446808510638295,0.26037037037037036,0.2627870150435471,0.5833333333333334,0.6436775818639798,0.10771358328211432
0.45,Cars,RESISC45,SUN397,0.6221862952369108,0.4218085106382979,0.2696296296296296,0.2622327790973872,0.5955555555555555,0.6458942065491183,0.1101720958819914
0.5,Cars,RESISC45,SUN397,0.6260415371222485,0.42127659574468085,0.2740740740740741,0.26167854315122724,0.6061904761904762,0.6465491183879093,0.11228488014751076
0.55,Cars,RESISC45,SUN397,0.6325083944782988,0.4228723404255319,0.28296296296296297,0.2604117181314331,0.6138095238095238,0.6472544080604534,0.1144360786724032
0.6000000000000001,Cars,RESISC45,SUN397,0.6371098122124114,0.4228723404255319,0.2859259259259259,0.25985748218527316,0.6211111111111111,0.6472544080604534,0.11654886293792256
0.65,Cars,RESISC45,SUN397,0.639721427683124,0.4218085106382979,0.2877777777777778,0.26025336500395885,0.6277777777777778,0.6464987405541561,0.11800860479409957
0.7000000000000001,Cars,RESISC45,SUN397,0.6437010322099241,0.42340425531914894,0.2877777777777778,0.26057007125890735,0.6320634920634921,0.644735516372796,0.1196220036877689
0.75,Cars,RESISC45,SUN397,0.6458151971147867,0.42659574468085104,0.2848148148148148,0.26167854315122724,0.6352380952380953,0.6418136020151134,0.12042870313460356
0.8,Cars,RESISC45,SUN397,0.6492973510757368,0.42872340425531913,0.28296296296296297,0.26270783847981,0.6407936507936508,0.6416120906801007,0.12150430239704979
0.8500000000000001,Cars,RESISC45,SUN397,0.6501678895659744,0.4319148936170213,0.27814814814814814,0.26310372129849563,0.6449206349206349,0.6411586901763224,0.12192685925015366
0.9,Cars,RESISC45,SUN397,0.6511627906976745,0.4340425531914894,0.2733333333333333,0.26405384006334126,0.6484126984126984,0.6400503778337532,0.122579901659496
0.9500000000000001,Cars,RESISC45,SUN397,0.6511627906976745,0.43617021276595747,0.2674074074074074,0.2641330166270784,0.6466666666666666,0.6379848866498741,0.12273355869698832
1.0,Cars,RESISC45,SUN397,0.6485511752269618,0.43617021276595747,0.26666666666666666,0.26405384006334126,0.6501587301587302,0.6364735516372796,0.12327135832821143
0.0,Cars,RESISC45,SVHN,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.05,Cars,RESISC45,SVHN,0.5485636114911081,0.4015957446808511,0.22296296296296297,0.26737925574030086,0.4657142857142857,0.613904282115869,0.09918561770129072
0.1,Cars,RESISC45,SVHN,0.5587613480910335,0.4031914893617021,0.22925925925925925,0.2707046714172605,0.4866666666666667,0.615264483627204,0.11270743700061463
0.15000000000000002,Cars,RESISC45,SVHN,0.5692078099738839,0.4101063829787234,0.23777777777777778,0.2720506730007918,0.5055555555555555,0.6185390428211587,0.1292639827904118
0.2,Cars,RESISC45,SVHN,0.5789080960079592,0.4127659574468085,0.24333333333333335,0.27268408551068885,0.5226984126984127,0.621712846347607,0.1516979102642901
0.25,Cars,RESISC45,SVHN,0.5874891182688721,0.4186170212765957,0.2537037037037037,0.2723673792557403,0.5388888888888889,0.6240302267002519,0.18185310387215733
0.30000000000000004,Cars,RESISC45,SVHN,0.5963188658127099,0.4207446808510638,0.2644444444444444,0.2736342042755344,0.5561904761904762,0.6246851385390428,0.22268746158574063
0.35000000000000003,Cars,RESISC45,SVHN,0.6031588110931476,0.42127659574468085,0.2707407407407407,0.27490102929532856,0.5714285714285714,0.6253904282115869,0.27623693915181313
0.4,Cars,RESISC45,SVHN,0.6117398333540605,0.4207446808510638,0.27185185185185184,0.2778305621536025,0.5863492063492064,0.6262972292191435,0.3467655193607867
0.45,Cars,RESISC45,SVHN,0.6184554159930357,0.4223404255319149,0.2751851851851852,0.2815518606492478,0.5993650793650793,0.6266498740554156,0.42336355255070685
0.5,Cars,RESISC45,SVHN,0.624424822783236,0.42021276595744683,0.2714814814814815,0.28297703879651626,0.6112698412698413,0.6256926952141058,0.5011908420405654
0.55,Cars,RESISC45,SVHN,0.6272851635368735,0.42127659574468085,0.2688888888888889,0.28590657165479016,0.626031746031746,0.6252896725440806,0.5646127842655193
0.6000000000000001,Cars,RESISC45,SVHN,0.6295236910831986,0.42127659574468085,0.2614814814814815,0.286381631037213,0.6363492063492063,0.6251385390428211,0.6138982790411801
0.65,Cars,RESISC45,SVHN,0.6322596691953737,0.4223404255319149,0.2577777777777778,0.28812351543942993,0.6449206349206349,0.6224685138539043,0.6506223110018439
0.7000000000000001,Cars,RESISC45,SVHN,0.6338763835343862,0.42127659574468085,0.2511111111111111,0.28859857482185275,0.6522222222222223,0.6208564231738035,0.6785878918254457
