scaling_factor,k,dataset:0,dataset:1,dataset:2,dataset:3,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN
0.25,0.5,Cars,DTD,EuroSAT,SVHN,0.5459519960203955,0.4170212765957446,0.2481481481481481,0.2802058590657165,0.4606349206349206,0.6149622166246851,0.0986478180700676
0.5,0.5,Cars,DTD,EuroSAT,SVHN,0.5576420843178709,0.451063829787234,0.3303703703703703,0.3032462391132224,0.4779365079365079,0.6215617128463476,0.1281883835279655
0.75,0.5,Cars,DTD,EuroSAT,SVHN,0.5647307548812337,0.4813829787234042,0.4348148148148148,0.3205859065716548,0.4898412698412698,0.6228211586901763,0.2000614628149969
1.0,0.5,Cars,DTD,EuroSAT,SVHN,0.5596318865812709,0.5132978723404256,0.4577777777777778,0.3339667458432304,0.4804761904761905,0.606095717884131,0.3244852489244007
0.0,0.75,Cars,DTD,EuroSAT,SVHN,0.5365004352692451,0.400531914893617,0.2185185185185185,0.2635787806809184,0.4479365079365079,0.6108816120906801,0.0890826674861708
0.25,0.75,Cars,DTD,EuroSAT,SVHN,0.547568710359408,0.4154255319148936,0.2533333333333333,0.2769596199524941,0.4607936507936508,0.6145088161209068,0.0988014751075599
0.5,0.75,Cars,DTD,EuroSAT,SVHN,0.5592587986568834,0.4473404255319149,0.3440740740740741,0.2961995249406176,0.4809523809523809,0.6200503778337532,0.1281115550092194
0.75,0.75,Cars,DTD,EuroSAT,SVHN,0.5710732495958214,0.4781914893617021,0.4514814814814815,0.3102929532858274,0.4974603174603174,0.6218639798488665,0.1992931776275353
1.0,0.75,Cars,DTD,EuroSAT,SVHN,0.573436139783609,0.5090425531914894,0.4859259259259259,0.3232779097387173,0.4992063492063492,0.6089168765743073,0.3658958205285802
0.0,1.0,Cars,DTD,EuroSAT,SVHN,0.5365004352692451,0.400531914893617,0.2185185185185185,0.2635787806809184,0.4479365079365079,0.6108816120906801,0.0890826674861708
0.25,1.0,Cars,DTD,EuroSAT,SVHN,0.545578908096008,0.4143617021276595,0.2466666666666666,0.2741092636579572,0.4582539682539682,0.6148614609571789,0.0967655193607867
0.5,1.0,Cars,DTD,EuroSAT,SVHN,0.5576420843178709,0.4367021276595744,0.3085185185185185,0.2885985748218527,0.4777777777777778,0.6207556675062972,0.1169714197910264
0.75,1.0,Cars,DTD,EuroSAT,SVHN,0.5673423703519462,0.4643617021276596,0.4266666666666667,0.3020585906571655,0.4928571428571429,0.6234256926952141,0.165719114935464
1.0,1.0,Cars,DTD,EuroSAT,SVHN,0.5760477552543216,0.4952127659574468,0.4774074074074074,0.3106888361045131,0.5090476190476191,0.6202518891687657,0.2737015980331899
0.0,0.25,Cars,DTD,GTSRB,RESISC45,0.5365004352692451,0.400531914893617,0.2185185185185185,0.2635787806809184,0.4479365079365079,0.6108816120906801,0.0890826674861708
0.25,0.25,Cars,DTD,GTSRB,RESISC45,0.5414749409277453,0.4138297872340425,0.2214814814814814,0.2764845605700712,0.4633333333333333,0.6140554156171285,0.0910802089735709
0.5,0.25,Cars,DTD,GTSRB,RESISC45,0.5452058201716204,0.4367021276595744,0.2348148148148148,0.3009501187648456,0.4912698412698412,0.6210579345088161,0.0942301782421635
0.75,0.25,Cars,DTD,GTSRB,RESISC45,0.5411018530033578,0.4627659574468085,0.2525925925925926,0.3320665083135392,0.5293650793650794,0.626095717884131,0.0985709895513214
1.0,0.25,Cars,DTD,GTSRB,RESISC45,0.5323964681009825,0.4861702127659574,0.2807407407407407,0.3658749010292953,0.5704761904761905,0.6175818639798488,0.1066379840196681
0.0,0.5,Cars,DTD,GTSRB,RESISC45,0.5365004352692451,0.400531914893617,0.2185185185185185,0.2635787806809184,0.4479365079365079,0.6108816120906801,0.0890826674861708
0.25,0.5,Cars,DTD,GTSRB,RESISC45,0.5469468971520955,0.4223404255319149,0.2307407407407407,0.2905779889152811,0.4820634920634921,0.6168261964735516,0.0948063921327596
